Date,Value,Category,SubCategory,Source
1999,92,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Southern,cbsl
2000,96,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Southern,cbsl
2002,102,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Southern,cbsl
2003,135,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Southern,cbsl
2004,137,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Southern,cbsl
2005,130,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Southern,cbsl
2006,177,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Southern,cbsl
2007,248,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Southern,cbsl
2008,198,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Southern,cbsl
2009,282,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Southern,cbsl
2010,331,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Southern,cbsl
2011,376,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Southern,cbsl
2012,516,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Southern,cbsl
2013,671,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Southern,cbsl
2014,785,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Southern,cbsl
2015,945,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Southern,cbsl
2016,612,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Southern,cbsl
2017,1176,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Southern,cbsl
2018,1252.0,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Southern,cbsl
2019,1237,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Southern,cbsl
2020,1250.0,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Southern,cbsl
2021,1267,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Southern,cbsl
