Date,Value,Category,SubCategory,Source
1996,825,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Total,cbsl
1997,871,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Total,cbsl
1998,983,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Total,cbsl
1999,1061,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Total,cbsl
2000,0,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Total,cbsl
2001,1125,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Total,cbsl
2002,1172,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Total,cbsl
2003,1399,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Total,cbsl
2004,1525,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Total,cbsl
2005,1707,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Total,cbsl
2006,1918,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Total,cbsl
2007,2168,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Total,cbsl
2008,2337,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Total,cbsl
2009,3262,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Total,cbsl
2010,3588,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Total,cbsl
2011,4362,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Total,cbsl
2012,5142,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Total,cbsl
2013,6588,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Total,cbsl
2014,7480,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Total,cbsl
2015,8711,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Total,cbsl
2016,8921,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Total,cbsl
2017,9849,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Total,cbsl
2018,10554,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Total,cbsl
2019,10771,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Total,cbsl
2020,11313,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Total,cbsl
2021,11044,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Total,cbsl
2022,11573,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Total,cbsl
