Date,Value,Category,SubCategory,Source
2000,109471,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-All Island,cbsl
2001,120123,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-All Island,cbsl
2002,127456,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-All Island,cbsl
2003,137144,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-All Island,cbsl
2004,148253,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-All Island,cbsl
2005,160758,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-All Island,cbsl
2006,171518,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-All Island,cbsl
2007,180923,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-All Island,cbsl
2008,171209,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-All Island,cbsl
2009,180205,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-All Island,cbsl
2010,194909,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-All Island,cbsl
2011,219674,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-All Island,cbsl
2012,256176,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-All Island,cbsl
2013,276683,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-All Island,cbsl
2014,292556,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-All Island,cbsl
2015,336542,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-All Island,cbsl
2016,357125,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-All Island,cbsl
2017,349907,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-All Island,cbsl
2018,363575,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-All Island,cbsl
2019,401444,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-All Island,cbsl
2020,392737,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-All Island,cbsl
2021,390802,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-All Island,cbsl
2022,386429,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-All Island,cbsl
