Date,Value,Category,SubCategory,Source
1999,7971,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Central,cbsl
2000,8914,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Central,cbsl
2001,12544,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Central,cbsl
2002,12848,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Central,cbsl
2003,14054,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Central,cbsl
2004,15540,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Central,cbsl
2005,16450,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Central,cbsl
2006,17427,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Central,cbsl
2007,17744,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Central,cbsl
2008,18699,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Central,cbsl
2009,19749,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Central,cbsl
2010,24683,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Central,cbsl
2011,21059,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Central,cbsl
2012,25129,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Central,cbsl
2013,27061,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Central,cbsl
2014,27032,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Central,cbsl
2015,31114,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Central,cbsl
2016,34821,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Central,cbsl
2017,37719,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Central,cbsl
2018,39947.0,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Central,cbsl
2019,41466,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Central,cbsl
2020,43585,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Central,cbsl
2021,42048,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Central,cbsl
