Date,Value,Category,SubCategory,Source
1999,545,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Eastern,cbsl
2000,577,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Eastern,cbsl
2001,1234,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Eastern,cbsl
2002,1121,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Eastern,cbsl
2003,1967,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Eastern,cbsl
2004,2166,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Eastern,cbsl
2005,2407,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Eastern,cbsl
2006,2574,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Eastern,cbsl
2007,2216,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Eastern,cbsl
2008,2384,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Eastern,cbsl
2009,2550,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Eastern,cbsl
2010,4291,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Eastern,cbsl
2011,6736,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Eastern,cbsl
2012,7689,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Eastern,cbsl
2013,8720,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Eastern,cbsl
2014,9607,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Eastern,cbsl
2015,11929,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Eastern,cbsl
2016,13493,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Eastern,cbsl
2017,14225,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Eastern,cbsl
2018,14988.0,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Eastern,cbsl
2019,15476,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Eastern,cbsl
2020,15458.0,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Eastern,cbsl
2021,15849,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Eastern,cbsl
