Date,Value,Category,SubCategory,Source
1999,0,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Northern,cbsl
2000,0,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Northern,cbsl
2001,71,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Northern,cbsl
2002,207,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Northern,cbsl
2003,529,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Northern,cbsl
2004,974,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Northern,cbsl
2005,1909,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Northern,cbsl
2006,1631,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Northern,cbsl
2007,1255,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Northern,cbsl
2008,771,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Northern,cbsl
2009,817,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Northern,cbsl
2010,1380,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Northern,cbsl
2011,3645,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Northern,cbsl
2012,6997,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Northern,cbsl
2013,5596,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Northern,cbsl
2014,5760,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Northern,cbsl
2015,7106,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Northern,cbsl
2016,8074,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Northern,cbsl
2017,8469,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Northern,cbsl
2018,10046.0,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Northern,cbsl
2019,10912,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Northern,cbsl
2020,11241.0,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Northern,cbsl
2021,11831,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Northern,cbsl
