Date,Value,Category,SubCategory,Source
1999,7158,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Southern,cbsl
2000,8054,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Southern,cbsl
2001,8657,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Southern,cbsl
2002,9319,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Southern,cbsl
2003,10019,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Southern,cbsl
2004,10507,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Southern,cbsl
2005,11736,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Southern,cbsl
2006,12376,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Southern,cbsl
2007,19091,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Southern,cbsl
2008,13809,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Southern,cbsl
2009,14054,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Southern,cbsl
2010,15502,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Southern,cbsl
2011,19587,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Southern,cbsl
2012,23990,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Southern,cbsl
2013,27054,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Southern,cbsl
2014,30436,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Southern,cbsl
2015,36716,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Southern,cbsl
2016,38375,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Southern,cbsl
2017,40599,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Southern,cbsl
2018,42194.0,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Southern,cbsl
2019,42247,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Southern,cbsl
2020,42181.0,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Southern,cbsl
2021,42012,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Southern,cbsl
