Date,Value,Category,SubCategory,Source
1999,2156,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Uva,cbsl
2000,2479,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Uva,cbsl
2001,2810,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Uva,cbsl
2002,3020,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Uva,cbsl
2003,3454,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Uva,cbsl
2004,3985,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Uva,cbsl
2005,3914,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Uva,cbsl
2006,4539,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Uva,cbsl
2007,4952,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Uva,cbsl
2008,4581,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Uva,cbsl
2009,5337,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Uva,cbsl
2010,5524,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Uva,cbsl
2011,6751,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Uva,cbsl
2012,9545,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Uva,cbsl
2013,10172,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Uva,cbsl
2014,11366,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Uva,cbsl
2015,14992,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Uva,cbsl
2016,17077,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Uva,cbsl
2017,17485,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Uva,cbsl
2018,18669.0,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Uva,cbsl
2019,21289,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Uva,cbsl
2020,20253.0,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Uva,cbsl
2021,19840,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Uva,cbsl
