Date,Value,Category,SubCategory,Source
1999,73844,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Western,cbsl
2000,74283,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Western,cbsl
2001,76324,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Western,cbsl
2002,81720,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Western,cbsl
2003,85794,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Western,cbsl
2004,91835,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Western,cbsl
2005,99469,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Western,cbsl
2006,102821,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Western,cbsl
2007,106571,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Western,cbsl
2008,102613,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Western,cbsl
2009,100840,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Western,cbsl
2010,105831,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Western,cbsl
2011,116467,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Western,cbsl
2012,125642,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Western,cbsl
2013,130577,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Western,cbsl
2014,135263,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Western,cbsl
2015,147961,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Western,cbsl
2016,149444,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Western,cbsl
2017,127117,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Western,cbsl
2018,130794.0,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Western,cbsl
2019,156681,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Western,cbsl
2020,147231.0,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Western,cbsl
2021,151169,Transport-Motor Vehicles,Motor Vehicles by Province-Dual Purpose Vehicles-Western,cbsl
