Date,Value,Category,SubCategory,Source
1999,8432,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Central,cbsl
2000,8852,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Central,cbsl
2001,14919,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Central,cbsl
2002,14819,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Central,cbsl
2003,14534,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Central,cbsl
2004,14878,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Central,cbsl
2005,16275,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Central,cbsl
2006,17774,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Central,cbsl
2007,19244,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Central,cbsl
2008,20111,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Central,cbsl
2009,20741,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Central,cbsl
2010,4607,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Central,cbsl
2011,21057,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Central,cbsl
2012,22491,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Central,cbsl
2013,22331,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Central,cbsl
2014,20314,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Central,cbsl
2015,21005,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Central,cbsl
2016,22816,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Central,cbsl
2017,24501,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Central,cbsl
2018,24812.0,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Central,cbsl
2019,24048,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Central,cbsl
2020,24814,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Central,cbsl
2021,24645,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Central,cbsl
