Date,Value,Category,SubCategory,Source
1999,1280,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Eastern,cbsl
2000,1251,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Eastern,cbsl
2001,2129,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Eastern,cbsl
2002,1907,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Eastern,cbsl
2003,2549,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Eastern,cbsl
2004,2811,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Eastern,cbsl
2005,3285,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Eastern,cbsl
2006,3921,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Eastern,cbsl
2007,3867,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Eastern,cbsl
2008,4192,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Eastern,cbsl
2009,4308,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Eastern,cbsl
2010,16019,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Eastern,cbsl
2011,6792,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Eastern,cbsl
2012,6555,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Eastern,cbsl
2013,6348,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Eastern,cbsl
2014,6008,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Eastern,cbsl
2015,6231,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Eastern,cbsl
2016,6672,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Eastern,cbsl
2017,7096,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Eastern,cbsl
2018,7977.0,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Eastern,cbsl
2019,7190,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Eastern,cbsl
2020,7468.0,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Eastern,cbsl
2021,8372,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Eastern,cbsl
