Date,Value,Category,SubCategory,Source
1999,2670,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-North Central,cbsl
2000,2686,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-North Central,cbsl
2001,4168,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-North Central,cbsl
2002,3604,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-North Central,cbsl
2003,4647,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-North Central,cbsl
2004,4956,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-North Central,cbsl
2005,6240,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-North Central,cbsl
2006,5978,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-North Central,cbsl
2007,6698,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-North Central,cbsl
2008,8374,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-North Central,cbsl
2009,7965,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-North Central,cbsl
2010,7994,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-North Central,cbsl
2011,12028,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-North Central,cbsl
2012,12348,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-North Central,cbsl
2013,12177,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-North Central,cbsl
2014,10838,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-North Central,cbsl
2015,12055,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-North Central,cbsl
2016,12002,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-North Central,cbsl
2017,12315,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-North Central,cbsl
2018,12644.0,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-North Central,cbsl
2019,12520,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-North Central,cbsl
2020,12744.0,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-North Central,cbsl
2021,14680,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-North Central,cbsl
