Date,Value,Category,SubCategory,Source
1999,4376,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Sabaragamuwa,cbsl
2000,4792,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Sabaragamuwa,cbsl
2001,5415,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Sabaragamuwa,cbsl
2002,5902,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Sabaragamuwa,cbsl
2003,6935,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Sabaragamuwa,cbsl
2004,7071,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Sabaragamuwa,cbsl
2005,8103,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Sabaragamuwa,cbsl
2006,9070,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Sabaragamuwa,cbsl
2007,11972,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Sabaragamuwa,cbsl
2008,10393,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Sabaragamuwa,cbsl
2009,11454,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Sabaragamuwa,cbsl
2010,2915,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Sabaragamuwa,cbsl
2011,11791,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Sabaragamuwa,cbsl
2012,13538,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Sabaragamuwa,cbsl
2013,15811,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Sabaragamuwa,cbsl
2014,16102,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Sabaragamuwa,cbsl
2015,16896,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Sabaragamuwa,cbsl
2016,16325,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Sabaragamuwa,cbsl
2017,18485,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Sabaragamuwa,cbsl
2018,18329.0,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Sabaragamuwa,cbsl
2019,18829,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Sabaragamuwa,cbsl
2020,18304,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Sabaragamuwa,cbsl
2021,18912,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Sabaragamuwa,cbsl
