Date,Value,Category,SubCategory,Source
1999,3566,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Uva,cbsl
2000,4090,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Uva,cbsl
2001,3678,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Uva,cbsl
2002,4722,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Uva,cbsl
2003,5085,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Uva,cbsl
2004,5685,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Uva,cbsl
2005,6284,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Uva,cbsl
2006,7088,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Uva,cbsl
2007,7873,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Uva,cbsl
2008,6810,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Uva,cbsl
2009,8867,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Uva,cbsl
2010,5754,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Uva,cbsl
2011,9010,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Uva,cbsl
2012,9560,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Uva,cbsl
2013,9226,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Uva,cbsl
2014,8992,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Uva,cbsl
2015,10144,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Uva,cbsl
2016,10390,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Uva,cbsl
2017,10526,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Uva,cbsl
2018,11390.0,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Uva,cbsl
2019,12557,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Uva,cbsl
2020,11869.0,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Uva,cbsl
2021,10976,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Uva,cbsl
