Date,Value,Category,SubCategory,Source
1999,52049,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Western,cbsl
2000,53910,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Western,cbsl
2001,53624,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Western,cbsl
2002,55836,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Western,cbsl
2003,67428,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Western,cbsl
2004,62381,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Western,cbsl
2005,82405,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Western,cbsl
2006,78609,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Western,cbsl
2007,83891,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Western,cbsl
2008,82254,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Western,cbsl
2009,82192,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Western,cbsl
2010,15404,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Western,cbsl
2011,92067,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Western,cbsl
2012,92962,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Western,cbsl
2013,92548,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Western,cbsl
2014,91538,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Western,cbsl
2015,94811,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Western,cbsl
2016,96106,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Western,cbsl
2017,76789,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Western,cbsl
2018,79930.0,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Western,cbsl
2019,95445,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Western,cbsl
2020,87269.0,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Western,cbsl
2021,91462,Transport-Motor Vehicles,Motor Vehicles by Province-Goods Transport Vehicles-Western,cbsl
