Date,Value,Category,SubCategory,Source
2000,52199,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-All Island,cbsl
2001,55266,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-All Island,cbsl
2002,55431,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-All Island,cbsl
2003,58974,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-All Island,cbsl
2004,63863,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-All Island,cbsl
2005,71362,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-All Island,cbsl
2006,87650,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-All Island,cbsl
2007,92028,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-All Island,cbsl
2008,75302,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-All Island,cbsl
2009,75093,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-All Island,cbsl
2010,201087,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-All Island,cbsl
2011,93053,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-All Island,cbsl
2012,98904,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-All Island,cbsl
2013,99230,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-All Island,cbsl
2014,92468,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-All Island,cbsl
2015,100433,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-All Island,cbsl
2016,108849,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-All Island,cbsl
2017,105193,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-All Island,cbsl
2018,108176,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-All Island,cbsl
2019,114298,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-All Island,cbsl
2020,113865,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-All Island,cbsl
2021,115694,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-All Island,cbsl
2022,120059,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-All Island,cbsl
