Date,Value,Category,SubCategory,Source
1999,3458,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Eastern,cbsl
2000,3788,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Eastern,cbsl
2001,4892,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Eastern,cbsl
2002,4931,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Eastern,cbsl
2003,5929,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Eastern,cbsl
2004,6892,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Eastern,cbsl
2005,7841,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Eastern,cbsl
2006,9753,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Eastern,cbsl
2007,9800,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Eastern,cbsl
2008,9355,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Eastern,cbsl
2009,9632,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Eastern,cbsl
2010,8171,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Eastern,cbsl
2011,17111,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Eastern,cbsl
2012,18592,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Eastern,cbsl
2013,18734,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Eastern,cbsl
2014,17872,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Eastern,cbsl
2015,19275,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Eastern,cbsl
2016,20820,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Eastern,cbsl
2017,21551,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Eastern,cbsl
2018,22473.0,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Eastern,cbsl
2019,23262,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Eastern,cbsl
2020,23800.0,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Eastern,cbsl
2021,25662,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Eastern,cbsl
