Date,Value,Category,SubCategory,Source
1999,89,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Northern,cbsl
2000,114,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Northern,cbsl
2001,1348,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Northern,cbsl
2002,1999,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Northern,cbsl
2003,3236,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Northern,cbsl
2004,3914,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Northern,cbsl
2005,4874,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Northern,cbsl
2006,5914,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Northern,cbsl
2007,4177,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Northern,cbsl
2008,2567,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Northern,cbsl
2009,2985,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Northern,cbsl
2010,1929,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Northern,cbsl
2011,9794,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Northern,cbsl
2012,13350,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Northern,cbsl
2013,11942,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Northern,cbsl
2014,11775,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Northern,cbsl
2015,12757,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Northern,cbsl
2016,14367,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Northern,cbsl
2017,14175,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Northern,cbsl
2018,16050.0,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Northern,cbsl
2019,16794,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Northern,cbsl
2020,17319.0,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Northern,cbsl
2021,18564,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Northern,cbsl
