Date,Value,Category,SubCategory,Source
1999,2864,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Sabaragamuwa,cbsl
2000,2195,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Sabaragamuwa,cbsl
2001,2029,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Sabaragamuwa,cbsl
2002,1197,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Sabaragamuwa,cbsl
2003,2038,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Sabaragamuwa,cbsl
2004,2360,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Sabaragamuwa,cbsl
2005,2014,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Sabaragamuwa,cbsl
2006,2719,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Sabaragamuwa,cbsl
2007,2932,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Sabaragamuwa,cbsl
2008,3287,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Sabaragamuwa,cbsl
2009,1487,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Sabaragamuwa,cbsl
2010,12804,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Sabaragamuwa,cbsl
2011,1510,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Sabaragamuwa,cbsl
2012,2717,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Sabaragamuwa,cbsl
2013,3278,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Sabaragamuwa,cbsl
2014,3178,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Sabaragamuwa,cbsl
2015,3478,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Sabaragamuwa,cbsl
2016,3023,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Sabaragamuwa,cbsl
2017,3360,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Sabaragamuwa,cbsl
2018,2952.0,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Sabaragamuwa,cbsl
2019,3131,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Sabaragamuwa,cbsl
2020,2774,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Sabaragamuwa,cbsl
2021,2704,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Sabaragamuwa,cbsl
