Date,Value,Category,SubCategory,Source
1999,9778,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Southern,cbsl
2000,11232,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Southern,cbsl
2001,11178,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Southern,cbsl
2002,11201,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Southern,cbsl
2003,12103,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Southern,cbsl
2004,11687,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Southern,cbsl
2005,13629,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Southern,cbsl
2006,14814,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Southern,cbsl
2007,20268,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Southern,cbsl
2008,15429,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Southern,cbsl
2009,15736,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Southern,cbsl
2010,19255,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Southern,cbsl
2011,16700,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Southern,cbsl
2012,15252,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Southern,cbsl
2013,14698,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Southern,cbsl
2014,13578,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Southern,cbsl
2015,14276,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Southern,cbsl
2016,14810,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Southern,cbsl
2017,14812,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Southern,cbsl
2018,14710.0,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Southern,cbsl
2019,13589,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Southern,cbsl
2020,13460.0,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Southern,cbsl
2021,13075,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Southern,cbsl
