Date,Value,Category,SubCategory,Source
1999,3612,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Uva,cbsl
2000,3448,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Uva,cbsl
2001,3533,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Uva,cbsl
2002,3733,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Uva,cbsl
2003,3588,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Uva,cbsl
2004,4431,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Uva,cbsl
2005,4797,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Uva,cbsl
2006,5934,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Uva,cbsl
2007,6395,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Uva,cbsl
2008,5980,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Uva,cbsl
2009,6771,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Uva,cbsl
2010,8231,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Uva,cbsl
2011,7198,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Uva,cbsl
2012,7491,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Uva,cbsl
2013,7355,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Uva,cbsl
2014,6915,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Uva,cbsl
2015,8201,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Uva,cbsl
2016,9099,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Uva,cbsl
2017,9504,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Uva,cbsl
2018,9555.0,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Uva,cbsl
2019,11350,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Uva,cbsl
2020,11728.0,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Uva,cbsl
2021,9524,Transport-Motor Vehicles,Motor Vehicles by Province-Land Vehicles-Uva,cbsl
