Date,Value,Category,SubCategory,Source
2006,981294,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-All Island,cbsl
2007,1126831,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-All Island,cbsl
2008,1100097,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-All Island,cbsl
2009,1158908,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-All Island,cbsl
2010,1360215,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-All Island,cbsl
2011,1535683,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-All Island,cbsl
2012,1708611,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-All Island,cbsl
2013,1759157,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-All Island,cbsl
2014,1861417,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-All Island,cbsl
2015,2227120,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-All Island,cbsl
2016,2437105,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-All Island,cbsl
2017,2531606,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-All Island,cbsl
2018,2729762,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-All Island,cbsl
2019,3023304,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-All Island,cbsl
2020,2998389,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-All Island,cbsl
2021,2968296,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-All Island,cbsl
2022,3040999,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-All Island,cbsl
