Date,Value,Category,SubCategory,Source
2006,64804,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-North Central,cbsl
2007,70766,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-North Central,cbsl
2008,78512,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-North Central,cbsl
2009,82659,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-North Central,cbsl
2010,115579,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-North Central,cbsl
2011,124820,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-North Central,cbsl
2012,133764,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-North Central,cbsl
2013,144394,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-North Central,cbsl
2014,143238,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-North Central,cbsl
2015,194061,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-North Central,cbsl
2016,211523,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-North Central,cbsl
2017,226577,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-North Central,cbsl
2018,240704.0,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-North Central,cbsl
2019,260771,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-North Central,cbsl
2020,266919.0,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-North Central,cbsl
2021,263861,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-North Central,cbsl
