Date,Value,Category,SubCategory,Source
2006,170196,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-North Western,cbsl
2007,186363,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-North Western,cbsl
2008,185942,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-North Western,cbsl
2009,219524,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-North Western,cbsl
2010,218461,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-North Western,cbsl
2011,254712,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-North Western,cbsl
2012,275215,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-North Western,cbsl
2013,285801,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-North Western,cbsl
2014,310800,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-North Western,cbsl
2015,356233,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-North Western,cbsl
2016,383543,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-North Western,cbsl
2017,409446,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-North Western,cbsl
2018,441671.0,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-North Western,cbsl
2019,473667,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-North Western,cbsl
2020,458568.0,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-North Western,cbsl
2021,466810,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-North Western,cbsl
