Date,Value,Category,SubCategory,Source
2006,49631,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-Sabaragamuwa,cbsl
2007,60222,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-Sabaragamuwa,cbsl
2008,60296,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-Sabaragamuwa,cbsl
2009,49032,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-Sabaragamuwa,cbsl
2010,70873,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-Sabaragamuwa,cbsl
2011,70777,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-Sabaragamuwa,cbsl
2012,88603,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-Sabaragamuwa,cbsl
2013,94110,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-Sabaragamuwa,cbsl
2014,101637,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-Sabaragamuwa,cbsl
2015,126308,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-Sabaragamuwa,cbsl
2016,127460,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-Sabaragamuwa,cbsl
2017,155956,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-Sabaragamuwa,cbsl
2018,159188.0,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-Sabaragamuwa,cbsl
2019,188453,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-Sabaragamuwa,cbsl
2020,187807,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-Sabaragamuwa,cbsl
2021,191462,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-Sabaragamuwa,cbsl
