Date,Value,Category,SubCategory,Source
2006,370226,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-Western,cbsl
2007,414770,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-Western,cbsl
2008,421324,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-Western,cbsl
2009,416527,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-Western,cbsl
2010,464435,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-Western,cbsl
2011,510509,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-Western,cbsl
2012,542858,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-Western,cbsl
2013,566284,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-Western,cbsl
2014,600347,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-Western,cbsl
2015,671641,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-Western,cbsl
2016,732567,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-Western,cbsl
2017,679349,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-Western,cbsl
2018,731065.0,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-Western,cbsl
2019,847929,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-Western,cbsl
2020,797077.0,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-Western,cbsl
2021,811222,Transport-Motor Vehicles,Motor Vehicles by Province-Motor Cycles-Western,cbsl
