Date,Value,Category,SubCategory,Source
1999-01,2342372,Transport-Port Services,Port Services - Cargo handled,cbsl
1999-02,1954199,Transport-Port Services,Port Services - Cargo handled,cbsl
1999-03,2470096,Transport-Port Services,Port Services - Cargo handled,cbsl
1999-04,2216197,Transport-Port Services,Port Services - Cargo handled,cbsl
1999-05,2080370,Transport-Port Services,Port Services - Cargo handled,cbsl
1999-06,2393633,Transport-Port Services,Port Services - Cargo handled,cbsl
1999-07,2193406,Transport-Port Services,Port Services - Cargo handled,cbsl
1999-08,2288279,Transport-Port Services,Port Services - Cargo handled,cbsl
1999-09,2328608,Transport-Port Services,Port Services - Cargo handled,cbsl
1999-10,2193604,Transport-Port Services,Port Services - Cargo handled,cbsl
1999-11,2150798,Transport-Port Services,Port Services - Cargo handled,cbsl
1999-12,2383363,Transport-Port Services,Port Services - Cargo handled,cbsl
2000-01,2336206,Transport-Port Services,Port Services - Cargo handled,cbsl
2000-02,2153630,Transport-Port Services,Port Services - Cargo handled,cbsl
2000-03,2381035,Transport-Port Services,Port Services - Cargo handled,cbsl
2000-04,2286404,Transport-Port Services,Port Services - Cargo handled,cbsl
2000-05,2356873,Transport-Port Services,Port Services - Cargo handled,cbsl
2000-06,2328614,Transport-Port Services,Port Services - Cargo handled,cbsl
2000-07,2388352,Transport-Port Services,Port Services - Cargo handled,cbsl
2000-08,2307338,Transport-Port Services,Port Services - Cargo handled,cbsl
2000-09,2263915,Transport-Port Services,Port Services - Cargo handled,cbsl
2000-10,2374636,Transport-Port Services,Port Services - Cargo handled,cbsl
2000-11,2044078,Transport-Port Services,Port Services - Cargo handled,cbsl
2000-12,2313907,Transport-Port Services,Port Services - Cargo handled,cbsl
2001-01,2051241,Transport-Port Services,Port Services - Cargo handled,cbsl
2001-02,2106154,Transport-Port Services,Port Services - Cargo handled,cbsl
2001-03,2585769,Transport-Port Services,Port Services - Cargo handled,cbsl
2001-04,2307980,Transport-Port Services,Port Services - Cargo handled,cbsl
2001-05,2414938,Transport-Port Services,Port Services - Cargo handled,cbsl
2001-06,2487586,Transport-Port Services,Port Services - Cargo handled,cbsl
2001-07,2544125,Transport-Port Services,Port Services - Cargo handled,cbsl
2001-08,2221246,Transport-Port Services,Port Services - Cargo handled,cbsl
2001-09,2088779,Transport-Port Services,Port Services - Cargo handled,cbsl
2001-10,2182469,Transport-Port Services,Port Services - Cargo handled,cbsl
2001-11,2075693,Transport-Port Services,Port Services - Cargo handled,cbsl
2001-12,1953062,Transport-Port Services,Port Services - Cargo handled,cbsl
2002-01,2162331,Transport-Port Services,Port Services - Cargo handled,cbsl
2002-02,2043575,Transport-Port Services,Port Services - Cargo handled,cbsl
2002-03,2167478,Transport-Port Services,Port Services - Cargo handled,cbsl
2002-04,2254845,Transport-Port Services,Port Services - Cargo handled,cbsl
2002-05,2365374,Transport-Port Services,Port Services - Cargo handled,cbsl
2002-06,2316499,Transport-Port Services,Port Services - Cargo handled,cbsl
2002-07,2436706,Transport-Port Services,Port Services - Cargo handled,cbsl
2002-08,2618723,Transport-Port Services,Port Services - Cargo handled,cbsl
2002-09,2505625,Transport-Port Services,Port Services - Cargo handled,cbsl
2002-10,2474543,Transport-Port Services,Port Services - Cargo handled,cbsl
2002-11,2532008,Transport-Port Services,Port Services - Cargo handled,cbsl
2002-12,2458119,Transport-Port Services,Port Services - Cargo handled,cbsl
2003-01,2512395,Transport-Port Services,Port Services - Cargo handled,cbsl
2003-02,2479925,Transport-Port Services,Port Services - Cargo handled,cbsl
2003-03,2372854,Transport-Port Services,Port Services - Cargo handled,cbsl
2003-04,2396467,Transport-Port Services,Port Services - Cargo handled,cbsl
2003-05,2375773,Transport-Port Services,Port Services - Cargo handled,cbsl
2003-06,2412484,Transport-Port Services,Port Services - Cargo handled,cbsl
2003-07,2757738,Transport-Port Services,Port Services - Cargo handled,cbsl
2003-08,2971394,Transport-Port Services,Port Services - Cargo handled,cbsl
2003-09,2540901,Transport-Port Services,Port Services - Cargo handled,cbsl
2003-10,2509873,Transport-Port Services,Port Services - Cargo handled,cbsl
2003-11,2531014,Transport-Port Services,Port Services - Cargo handled,cbsl
2003-12,2631046,Transport-Port Services,Port Services - Cargo handled,cbsl
2004-01,2508193,Transport-Port Services,Port Services - Cargo handled,cbsl
2004-02,2463063,Transport-Port Services,Port Services - Cargo handled,cbsl
2004-03,3033623,Transport-Port Services,Port Services - Cargo handled,cbsl
2004-04,2575407,Transport-Port Services,Port Services - Cargo handled,cbsl
2004-05,2618638,Transport-Port Services,Port Services - Cargo handled,cbsl
2004-06,2794086,Transport-Port Services,Port Services - Cargo handled,cbsl
2004-07,3076116,Transport-Port Services,Port Services - Cargo handled,cbsl
2004-08,3089828,Transport-Port Services,Port Services - Cargo handled,cbsl
2004-09,2966013,Transport-Port Services,Port Services - Cargo handled,cbsl
2004-10,3159557,Transport-Port Services,Port Services - Cargo handled,cbsl
2004-11,2782041,Transport-Port Services,Port Services - Cargo handled,cbsl
2004-12,2892841,Transport-Port Services,Port Services - Cargo handled,cbsl
2005-01,2801927,Transport-Port Services,Port Services - Cargo handled,cbsl
2005-02,2719952,Transport-Port Services,Port Services - Cargo handled,cbsl
2005-03,3189852,Transport-Port Services,Port Services - Cargo handled,cbsl
2005-04,3152568,Transport-Port Services,Port Services - Cargo handled,cbsl
2005-05,2973269,Transport-Port Services,Port Services - Cargo handled,cbsl
2005-06,3252274,Transport-Port Services,Port Services - Cargo handled,cbsl
2005-07,2957033,Transport-Port Services,Port Services - Cargo handled,cbsl
2005-08,3273232,Transport-Port Services,Port Services - Cargo handled,cbsl
2005-09,3278743,Transport-Port Services,Port Services - Cargo handled,cbsl
2005-10,3411856,Transport-Port Services,Port Services - Cargo handled,cbsl
2005-11,3082146,Transport-Port Services,Port Services - Cargo handled,cbsl
2005-12,3207808,Transport-Port Services,Port Services - Cargo handled,cbsl
2006-01,3202386,Transport-Port Services,Port Services - Cargo handled,cbsl
2006-02,2965668,Transport-Port Services,Port Services - Cargo handled,cbsl
2006-03,3644572,Transport-Port Services,Port Services - Cargo handled,cbsl
2006-04,3575746,Transport-Port Services,Port Services - Cargo handled,cbsl
2006-05,3658221,Transport-Port Services,Port Services - Cargo handled,cbsl
2006-06,3753571,Transport-Port Services,Port Services - Cargo handled,cbsl
2006-07,3531275,Transport-Port Services,Port Services - Cargo handled,cbsl
2006-08,3913018,Transport-Port Services,Port Services - Cargo handled,cbsl
2006-09,3524600,Transport-Port Services,Port Services - Cargo handled,cbsl
2006-10,3650157,Transport-Port Services,Port Services - Cargo handled,cbsl
2006-11,3498623,Transport-Port Services,Port Services - Cargo handled,cbsl
2006-12,3743137,Transport-Port Services,Port Services - Cargo handled,cbsl
2007-01,3613877,Transport-Port Services,Port Services - Cargo handled,cbsl
2007-02,3458386,Transport-Port Services,Port Services - Cargo handled,cbsl
2007-03,3946450,Transport-Port Services,Port Services - Cargo handled,cbsl
2007-04,3937200,Transport-Port Services,Port Services - Cargo handled,cbsl
2007-05,3873488,Transport-Port Services,Port Services - Cargo handled,cbsl
2007-06,3836680,Transport-Port Services,Port Services - Cargo handled,cbsl
2007-07,4099896,Transport-Port Services,Port Services - Cargo handled,cbsl
2007-08,3915867,Transport-Port Services,Port Services - Cargo handled,cbsl
2007-09,3940843,Transport-Port Services,Port Services - Cargo handled,cbsl
2007-10,4035495,Transport-Port Services,Port Services - Cargo handled,cbsl
2007-11,3669610,Transport-Port Services,Port Services - Cargo handled,cbsl
2007-12,4016428,Transport-Port Services,Port Services - Cargo handled,cbsl
2008-01,4025092,Transport-Port Services,Port Services - Cargo handled,cbsl
2008-02,3768373,Transport-Port Services,Port Services - Cargo handled,cbsl
2008-03,4263753,Transport-Port Services,Port Services - Cargo handled,cbsl
2008-04,4083550,Transport-Port Services,Port Services - Cargo handled,cbsl
2008-05,4330588,Transport-Port Services,Port Services - Cargo handled,cbsl
2008-06,4400138,Transport-Port Services,Port Services - Cargo handled,cbsl
2008-07,4303036,Transport-Port Services,Port Services - Cargo handled,cbsl
2008-08,4671978,Transport-Port Services,Port Services - Cargo handled,cbsl
2008-09,4559988,Transport-Port Services,Port Services - Cargo handled,cbsl
2008-10,4443929,Transport-Port Services,Port Services - Cargo handled,cbsl
2008-11,4083119,Transport-Port Services,Port Services - Cargo handled,cbsl
2008-12,3679114,Transport-Port Services,Port Services - Cargo handled,cbsl
2009-01,3299411,Transport-Port Services,Port Services - Cargo handled,cbsl
2009-02,3051111,Transport-Port Services,Port Services - Cargo handled,cbsl
2009-03,4076438,Transport-Port Services,Port Services - Cargo handled,cbsl
2009-04,3523425,Transport-Port Services,Port Services - Cargo handled,cbsl
2009-05,4067232,Transport-Port Services,Port Services - Cargo handled,cbsl
2009-06,4481385,Transport-Port Services,Port Services - Cargo handled,cbsl
2009-07,4387670,Transport-Port Services,Port Services - Cargo handled,cbsl
2009-08,4658315,Transport-Port Services,Port Services - Cargo handled,cbsl
2009-09,4317970,Transport-Port Services,Port Services - Cargo handled,cbsl
2009-10,4315075,Transport-Port Services,Port Services - Cargo handled,cbsl
2009-11,4139059,Transport-Port Services,Port Services - Cargo handled,cbsl
2009-12,4460376,Transport-Port Services,Port Services - Cargo handled,cbsl
2010-01,4981966,Transport-Port Services,Port Services - Cargo handled,cbsl
2010-02,4430887,Transport-Port Services,Port Services - Cargo handled,cbsl
2010-03,5237548,Transport-Port Services,Port Services - Cargo handled,cbsl
