Date,Value,Category,SubCategory,Source
2000,534.3,Transport-Private Bus Services,Private Bus Services-Operated Kilometers-All Island,cbsl
2001,523.5,Transport-Private Bus Services,Private Bus Services-Operated Kilometers-All Island,cbsl
2002,551.2,Transport-Private Bus Services,Private Bus Services-Operated Kilometers-All Island,cbsl
2003,563.5,Transport-Private Bus Services,Private Bus Services-Operated Kilometers-All Island,cbsl
2004,564.1,Transport-Private Bus Services,Private Bus Services-Operated Kilometers-All Island,cbsl
2005,487.3,Transport-Private Bus Services,Private Bus Services-Operated Kilometers-All Island,cbsl
2006,583.2,Transport-Private Bus Services,Private Bus Services-Operated Kilometers-All Island,cbsl
2007,607.2,Transport-Private Bus Services,Private Bus Services-Operated Kilometers-All Island,cbsl
2008,631.8,Transport-Private Bus Services,Private Bus Services-Operated Kilometers-All Island,cbsl
2009,629.5,Transport-Private Bus Services,Private Bus Services-Operated Kilometers-All Island,cbsl
2010,765.3,Transport-Private Bus Services,Private Bus Services-Operated Kilometers-All Island,cbsl
2011,799.8,Transport-Private Bus Services,Private Bus Services-Operated Kilometers-All Island,cbsl
2012,825.3,Transport-Private Bus Services,Private Bus Services-Operated Kilometers-All Island,cbsl
2013,847.2,Transport-Private Bus Services,Private Bus Services-Operated Kilometers-All Island,cbsl
2014,1336.2,Transport-Private Bus Services,Private Bus Services-Operated Kilometers-All Island,cbsl
2015,1012.6,Transport-Private Bus Services,Private Bus Services-Operated Kilometers-All Island,cbsl
2016,1030.2,Transport-Private Bus Services,Private Bus Services-Operated Kilometers-All Island,cbsl
2017,1008.8,Transport-Private Bus Services,Private Bus Services-Operated Kilometers-All Island,cbsl
2018,1110.4,Transport-Private Bus Services,Private Bus Services-Operated Kilometers-All Island,cbsl
2019,773.9,Transport-Private Bus Services,Private Bus Services-Operated Kilometers-All Island,cbsl
2020,381,Transport-Private Bus Services,Private Bus Services-Operated Kilometers-All Island,cbsl
2021,364,Transport-Private Bus Services,Private Bus Services-Operated Kilometers-All Island,cbsl
2022,425,Transport-Private Bus Services,Private Bus Services-Operated Kilometers-All Island,cbsl
