Date,Value,Category,SubCategory,Source
2000,525325,Transport-Private Bus Services,Private Bus Services-Seating Capacity-All Island,cbsl
2001,513825,Transport-Private Bus Services,Private Bus Services-Seating Capacity-All Island,cbsl
2002,547810,Transport-Private Bus Services,Private Bus Services-Seating Capacity-All Island,cbsl
2003,585770,Transport-Private Bus Services,Private Bus Services-Seating Capacity-All Island,cbsl
2004,587726,Transport-Private Bus Services,Private Bus Services-Seating Capacity-All Island,cbsl
2005,594986,Transport-Private Bus Services,Private Bus Services-Seating Capacity-All Island,cbsl
2006,613270,Transport-Private Bus Services,Private Bus Services-Seating Capacity-All Island,cbsl
2007,624365,Transport-Private Bus Services,Private Bus Services-Seating Capacity-All Island,cbsl
2008,653275,Transport-Private Bus Services,Private Bus Services-Seating Capacity-All Island,cbsl
2009,653275,Transport-Private Bus Services,Private Bus Services-Seating Capacity-All Island,cbsl
2010,714762,Transport-Private Bus Services,Private Bus Services-Seating Capacity-All Island,cbsl
2011,747135,Transport-Private Bus Services,Private Bus Services-Seating Capacity-All Island,cbsl
2012,770805,Transport-Private Bus Services,Private Bus Services-Seating Capacity-All Island,cbsl
2013,768015,Transport-Private Bus Services,Private Bus Services-Seating Capacity-All Island,cbsl
2014,930705,Transport-Private Bus Services,Private Bus Services-Seating Capacity-All Island,cbsl
2015,749172,Transport-Private Bus Services,Private Bus Services-Seating Capacity-All Island,cbsl
2016,758106,Transport-Private Bus Services,Private Bus Services-Seating Capacity-All Island,cbsl
2017,749136,Transport-Private Bus Services,Private Bus Services-Seating Capacity-All Island,cbsl
2018,836226,Transport-Private Bus Services,Private Bus Services-Seating Capacity-All Island,cbsl
2019,654822,Transport-Private Bus Services,Private Bus Services-Seating Capacity-All Island,cbsl
2020,465858,Transport-Private Bus Services,Private Bus Services-Seating Capacity-All Island,cbsl
2021,398490,Transport-Private Bus Services,Private Bus Services-Seating Capacity-All Island,cbsl
2022,429282,Transport-Private Bus Services,Private Bus Services-Seating Capacity-All Island,cbsl
