Date,Value,Category,SubCategory,Source
1998-01,9836235,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
1998-02,9799932,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
1998-03,12077020,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
1998-04,8393057,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
1998-05,7666413,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
1998-06,8514483,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
1998-07,9206443,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
1998-08,8568045,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
1998-09,7558378,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
1998-10,9238780,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
1998-11,9240634,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
1998-12,8199853,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
1999-01,8453951,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
1999-02,8070782,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
1999-03,8712862,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
1999-04,6468829,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
1999-05,8887414,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
1999-06,11587907,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
1999-07,7979113,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
1999-08,8008953,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
1999-09,7714663,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
1999-10,13962618,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
1999-11,8338367,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
1999-12,6567881,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2000-01,6749421,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2000-02,6844451,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2000-03,7766120,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2000-04,6541543,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2000-05,7873900,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2000-06,7296313,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2000-07,8341543,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2000-08,8400338,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2000-09,7968597,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2000-10,7743561,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2000-11,6479530,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2000-12,8051524,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2001-01,6866556,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2001-02,6909097,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2001-03,8193609,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2001-04,7264362,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2001-05,10388184,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2001-06,10677602,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2001-07,12098161,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2001-08,10599086,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2001-09,9943971,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2001-10,9950943,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2001-11,7419706,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2001-12,10203424,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2002-01,10664629,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2002-02,9763589,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2002-03,11114871,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2002-04,9409833,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2002-05,11060088,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2002-06,11984468,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2002-07,11921226,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2002-08,12583948,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2002-09,10875845,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2002-10,9116673,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2002-11,8114566,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2002-12,9319355,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2003-01,11089567,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2003-02,10316758,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2003-03,11487677,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2003-04,8013784,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2003-05,9294265,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2003-06,11673997,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2003-07,13019830,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2003-08,10662587,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2003-09,12081903,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2003-10,9702593,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2003-11,9557012,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2003-12,11170449,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2004-01,8825645,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2004-02,8076480,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2004-03,11977973,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2004-04,9641462,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2004-05,10250434,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2004-06,12307452,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2004-07,14878018,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2004-08,13146541,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2004-09,12683027,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2004-10,13021974,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2004-11,12386641,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2004-12,11108146,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2005-01,12865022,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2005-02,11088635,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2005-03,13102309,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2005-04,10118842,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2005-05,10848127,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2005-06,12127104,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2005-07,12304574,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2005-08,9829579,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
2005-09,9886668,Transport-Railways,Rail transport - Freight ton kilometres,cbsl
