Date,Value,Category,SubCategory,Source
1998-01,723895,Transport-Railways,Rail transport - Operated kilometres,cbsl
1998-02,654964,Transport-Railways,Rail transport - Operated kilometres,cbsl
1998-03,715392,Transport-Railways,Rail transport - Operated kilometres,cbsl
1998-04,686326,Transport-Railways,Rail transport - Operated kilometres,cbsl
1998-05,736951,Transport-Railways,Rail transport - Operated kilometres,cbsl
1998-06,689992,Transport-Railways,Rail transport - Operated kilometres,cbsl
1998-07,711613,Transport-Railways,Rail transport - Operated kilometres,cbsl
1998-08,710251,Transport-Railways,Rail transport - Operated kilometres,cbsl
1998-09,716605,Transport-Railways,Rail transport - Operated kilometres,cbsl
1998-10,740301,Transport-Railways,Rail transport - Operated kilometres,cbsl
1998-11,718133,Transport-Railways,Rail transport - Operated kilometres,cbsl
1998-12,729336,Transport-Railways,Rail transport - Operated kilometres,cbsl
1999-01,744688,Transport-Railways,Rail transport - Operated kilometres,cbsl
1999-02,675247,Transport-Railways,Rail transport - Operated kilometres,cbsl
1999-03,751096,Transport-Railways,Rail transport - Operated kilometres,cbsl
1999-04,730092,Transport-Railways,Rail transport - Operated kilometres,cbsl
1999-05,762694,Transport-Railways,Rail transport - Operated kilometres,cbsl
1999-06,755757,Transport-Railways,Rail transport - Operated kilometres,cbsl
1999-07,753773,Transport-Railways,Rail transport - Operated kilometres,cbsl
1999-08,752927,Transport-Railways,Rail transport - Operated kilometres,cbsl
1999-09,754875,Transport-Railways,Rail transport - Operated kilometres,cbsl
1999-10,789622,Transport-Railways,Rail transport - Operated kilometres,cbsl
1999-11,745935,Transport-Railways,Rail transport - Operated kilometres,cbsl
1999-12,713542,Transport-Railways,Rail transport - Operated kilometres,cbsl
2000-01,768115,Transport-Railways,Rail transport - Operated kilometres,cbsl
2000-02,727909,Transport-Railways,Rail transport - Operated kilometres,cbsl
2000-03,781679,Transport-Railways,Rail transport - Operated kilometres,cbsl
2000-04,745915,Transport-Railways,Rail transport - Operated kilometres,cbsl
2000-05,767285,Transport-Railways,Rail transport - Operated kilometres,cbsl
2000-06,769420,Transport-Railways,Rail transport - Operated kilometres,cbsl
2000-07,752842,Transport-Railways,Rail transport - Operated kilometres,cbsl
2000-08,789555,Transport-Railways,Rail transport - Operated kilometres,cbsl
2000-09,748104,Transport-Railways,Rail transport - Operated kilometres,cbsl
2000-10,781964,Transport-Railways,Rail transport - Operated kilometres,cbsl
2000-11,755460,Transport-Railways,Rail transport - Operated kilometres,cbsl
2000-12,799167,Transport-Railways,Rail transport - Operated kilometres,cbsl
2001-01,799738,Transport-Railways,Rail transport - Operated kilometres,cbsl
2001-02,743868,Transport-Railways,Rail transport - Operated kilometres,cbsl
2001-03,829484,Transport-Railways,Rail transport - Operated kilometres,cbsl
2001-04,801996,Transport-Railways,Rail transport - Operated kilometres,cbsl
2001-05,804485,Transport-Railways,Rail transport - Operated kilometres,cbsl
2001-06,792630,Transport-Railways,Rail transport - Operated kilometres,cbsl
2001-07,813393,Transport-Railways,Rail transport - Operated kilometres,cbsl
2001-08,821028,Transport-Railways,Rail transport - Operated kilometres,cbsl
2001-09,742935,Transport-Railways,Rail transport - Operated kilometres,cbsl
2001-10,812657,Transport-Railways,Rail transport - Operated kilometres,cbsl
2001-11,705821,Transport-Railways,Rail transport - Operated kilometres,cbsl
2001-12,775290,Transport-Railways,Rail transport - Operated kilometres,cbsl
2002-01,823483,Transport-Railways,Rail transport - Operated kilometres,cbsl
2002-02,747678,Transport-Railways,Rail transport - Operated kilometres,cbsl
2002-03,824453,Transport-Railways,Rail transport - Operated kilometres,cbsl
2002-04,772809,Transport-Railways,Rail transport - Operated kilometres,cbsl
2002-05,813957,Transport-Railways,Rail transport - Operated kilometres,cbsl
2002-06,793710,Transport-Railways,Rail transport - Operated kilometres,cbsl
2002-07,806883,Transport-Railways,Rail transport - Operated kilometres,cbsl
2002-08,805494,Transport-Railways,Rail transport - Operated kilometres,cbsl
2002-09,760776,Transport-Railways,Rail transport - Operated kilometres,cbsl
2002-10,762956,Transport-Railways,Rail transport - Operated kilometres,cbsl
2002-11,749274,Transport-Railways,Rail transport - Operated kilometres,cbsl
2002-12,775787,Transport-Railways,Rail transport - Operated kilometres,cbsl
2003-01,765435,Transport-Railways,Rail transport - Operated kilometres,cbsl
2003-02,694927,Transport-Railways,Rail transport - Operated kilometres,cbsl
2003-03,754656,Transport-Railways,Rail transport - Operated kilometres,cbsl
2003-04,713079,Transport-Railways,Rail transport - Operated kilometres,cbsl
2003-05,751530,Transport-Railways,Rail transport - Operated kilometres,cbsl
2003-06,744819,Transport-Railways,Rail transport - Operated kilometres,cbsl
2003-07,752859,Transport-Railways,Rail transport - Operated kilometres,cbsl
2003-08,766831,Transport-Railways,Rail transport - Operated kilometres,cbsl
2003-09,759845,Transport-Railways,Rail transport - Operated kilometres,cbsl
2003-10,626649,Transport-Railways,Rail transport - Operated kilometres,cbsl
2003-11,738116,Transport-Railways,Rail transport - Operated kilometres,cbsl
2003-12,758632,Transport-Railways,Rail transport - Operated kilometres,cbsl
2004-01,628490,Transport-Railways,Rail transport - Operated kilometres,cbsl
2004-02,474717,Transport-Railways,Rail transport - Operated kilometres,cbsl
2004-03,751490,Transport-Railways,Rail transport - Operated kilometres,cbsl
2004-04,675991,Transport-Railways,Rail transport - Operated kilometres,cbsl
2004-05,746421,Transport-Railways,Rail transport - Operated kilometres,cbsl
2004-06,727863,Transport-Railways,Rail transport - Operated kilometres,cbsl
2004-07,764518,Transport-Railways,Rail transport - Operated kilometres,cbsl
2004-08,753063,Transport-Railways,Rail transport - Operated kilometres,cbsl
2004-09,717949,Transport-Railways,Rail transport - Operated kilometres,cbsl
2004-10,748594,Transport-Railways,Rail transport - Operated kilometres,cbsl
2004-11,711846,Transport-Railways,Rail transport - Operated kilometres,cbsl
2004-12,701444,Transport-Railways,Rail transport - Operated kilometres,cbsl
2005-01,646399,Transport-Railways,Rail transport - Operated kilometres,cbsl
2005-02,573447,Transport-Railways,Rail transport - Operated kilometres,cbsl
2005-03,715914,Transport-Railways,Rail transport - Operated kilometres,cbsl
2005-04,702339,Transport-Railways,Rail transport - Operated kilometres,cbsl
2005-05,709275,Transport-Railways,Rail transport - Operated kilometres,cbsl
