Date,Value,Category,SubCategory,Source
2000,88.0,Transport-Railways,Sri Lanka Railways-Freight Tonne Kilometers-All Island,cbsl
2001,109.0,Transport-Railways,Sri Lanka Railways-Freight Tonne Kilometers-All Island,cbsl
2002,131.0,Transport-Railways,Sri Lanka Railways-Freight Tonne Kilometers-All Island,cbsl
2003,129.0,Transport-Railways,Sri Lanka Railways-Freight Tonne Kilometers-All Island,cbsl
2004,134.0,Transport-Railways,Sri Lanka Railways-Freight Tonne Kilometers-All Island,cbsl
2005,135.0,Transport-Railways,Sri Lanka Railways-Freight Tonne Kilometers-All Island,cbsl
2006,138.0,Transport-Railways,Sri Lanka Railways-Freight Tonne Kilometers-All Island,cbsl
2007,133.2,Transport-Railways,Sri Lanka Railways-Freight Tonne Kilometers-All Island,cbsl
2008,120.6,Transport-Railways,Sri Lanka Railways-Freight Tonne Kilometers-All Island,cbsl
2009,113.8,Transport-Railways,Sri Lanka Railways-Freight Tonne Kilometers-All Island,cbsl
2010,162.8,Transport-Railways,Sri Lanka Railways-Freight Tonne Kilometers-All Island,cbsl
2011,153.8,Transport-Railways,Sri Lanka Railways-Freight Tonne Kilometers-All Island,cbsl
2012,143.4,Transport-Railways,Sri Lanka Railways-Freight Tonne Kilometers-All Island,cbsl
2013,128.2,Transport-Railways,Sri Lanka Railways-Freight Tonne Kilometers-All Island,cbsl
2014,130.4,Transport-Railways,Sri Lanka Railways-Freight Tonne Kilometers-All Island,cbsl
2015,130.0,Transport-Railways,Sri Lanka Railways-Freight Tonne Kilometers-All Island,cbsl
2016,139.9,Transport-Railways,Sri Lanka Railways-Freight Tonne Kilometers-All Island,cbsl
2017,144.8,Transport-Railways,Sri Lanka Railways-Freight Tonne Kilometers-All Island,cbsl
2018,119.8,Transport-Railways,Sri Lanka Railways-Freight Tonne Kilometers-All Island,cbsl
2019,115.6,Transport-Railways,Sri Lanka Railways-Freight Tonne Kilometers-All Island,cbsl
2020,114.4,Transport-Railways,Sri Lanka Railways-Freight Tonne Kilometers-All Island,cbsl
2021,161.6,Transport-Railways,Sri Lanka Railways-Freight Tonne Kilometers-All Island,cbsl
