Date,Value,Category,SubCategory,Source
2000,161,Transport-Railways,Sri Lanka Railways-Main Stations-Broad Gauge,cbsl
2001,160,Transport-Railways,Sri Lanka Railways-Main Stations-Broad Gauge,cbsl
2002,160,Transport-Railways,Sri Lanka Railways-Main Stations-Broad Gauge,cbsl
2003,160,Transport-Railways,Sri Lanka Railways-Main Stations-Broad Gauge,cbsl
2004,142,Transport-Railways,Sri Lanka Railways-Main Stations-Broad Gauge,cbsl
2005,151,Transport-Railways,Sri Lanka Railways-Main Stations-Broad Gauge,cbsl
2006,172,Transport-Railways,Sri Lanka Railways-Main Stations-Broad Gauge,cbsl
2007,172,Transport-Railways,Sri Lanka Railways-Main Stations-Broad Gauge,cbsl
2008,172,Transport-Railways,Sri Lanka Railways-Main Stations-Broad Gauge,cbsl
2009,172,Transport-Railways,Sri Lanka Railways-Main Stations-Broad Gauge,cbsl
2010,172,Transport-Railways,Sri Lanka Railways-Main Stations-Broad Gauge,cbsl
2011,183,Transport-Railways,Sri Lanka Railways-Main Stations-Broad Gauge,cbsl
2012,183,Transport-Railways,Sri Lanka Railways-Main Stations-Broad Gauge,cbsl
2013,174,Transport-Railways,Sri Lanka Railways-Main Stations-Broad Gauge,cbsl
2014,168,Transport-Railways,Sri Lanka Railways-Main Stations-Broad Gauge,cbsl
2015,174,Transport-Railways,Sri Lanka Railways-Main Stations-Broad Gauge,cbsl
2016,174,Transport-Railways,Sri Lanka Railways-Main Stations-Broad Gauge,cbsl
2017,179,Transport-Railways,Sri Lanka Railways-Main Stations-Broad Gauge,cbsl
2018,179,Transport-Railways,Sri Lanka Railways-Main Stations-Broad Gauge,cbsl
2019,182,Transport-Railways,Sri Lanka Railways-Main Stations-Broad Gauge,cbsl
2020,182,Transport-Railways,Sri Lanka Railways-Main Stations-Broad Gauge,cbsl
2021,182,Transport-Railways,Sri Lanka Railways-Main Stations-Broad Gauge,cbsl
