Date,Value,Category,SubCategory,Source
2000,8.5,Transport-Railways,Sri Lanka Railways-Operated Kilometers-All Island,cbsl
2001,8.9,Transport-Railways,Sri Lanka Railways-Operated Kilometers-All Island,cbsl
2002,8.5,Transport-Railways,Sri Lanka Railways-Operated Kilometers-All Island,cbsl
2003,8.3,Transport-Railways,Sri Lanka Railways-Operated Kilometers-All Island,cbsl
2004,7.6,Transport-Railways,Sri Lanka Railways-Operated Kilometers-All Island,cbsl
2005,7.6,Transport-Railways,Sri Lanka Railways-Operated Kilometers-All Island,cbsl
2006,8.8,Transport-Railways,Sri Lanka Railways-Operated Kilometers-All Island,cbsl
2007,9.7,Transport-Railways,Sri Lanka Railways-Operated Kilometers-All Island,cbsl
2008,9.3,Transport-Railways,Sri Lanka Railways-Operated Kilometers-All Island,cbsl
2009,9.7,Transport-Railways,Sri Lanka Railways-Operated Kilometers-All Island,cbsl
2010,9.8,Transport-Railways,Sri Lanka Railways-Operated Kilometers-All Island,cbsl
2011,10,Transport-Railways,Sri Lanka Railways-Operated Kilometers-All Island,cbsl
2012,10.6,Transport-Railways,Sri Lanka Railways-Operated Kilometers-All Island,cbsl
2013,10.9,Transport-Railways,Sri Lanka Railways-Operated Kilometers-All Island,cbsl
2014,11.1,Transport-Railways,Sri Lanka Railways-Operated Kilometers-All Island,cbsl
2015,11.3,Transport-Railways,Sri Lanka Railways-Operated Kilometers-All Island,cbsl
2016,11.5,Transport-Railways,Sri Lanka Railways-Operated Kilometers-All Island,cbsl
2017,11.2,Transport-Railways,Sri Lanka Railways-Operated Kilometers-All Island,cbsl
2018,11.6,Transport-Railways,Sri Lanka Railways-Operated Kilometers-All Island,cbsl
2019,11.7,Transport-Railways,Sri Lanka Railways-Operated Kilometers-All Island,cbsl
2020,3.7,Transport-Railways,Sri Lanka Railways-Operated Kilometers-All Island,cbsl
2021,6.3,Transport-Railways,Sri Lanka Railways-Operated Kilometers-All Island,cbsl
