Date,Value,Category,SubCategory,Source
2000,3208,Transport-Railways,Sri Lanka Railways-Passenger Kilometers-All Island,cbsl
2001,3979.0,Transport-Railways,Sri Lanka Railways-Passenger Kilometers-All Island,cbsl
2002,4079.0,Transport-Railways,Sri Lanka Railways-Passenger Kilometers-All Island,cbsl
2003,4627.0,Transport-Railways,Sri Lanka Railways-Passenger Kilometers-All Island,cbsl
2004,4684.0,Transport-Railways,Sri Lanka Railways-Passenger Kilometers-All Island,cbsl
2005,4357.9,Transport-Railways,Sri Lanka Railways-Passenger Kilometers-All Island,cbsl
2006,4321,Transport-Railways,Sri Lanka Railways-Passenger Kilometers-All Island,cbsl
2007,4766.8,Transport-Railways,Sri Lanka Railways-Passenger Kilometers-All Island,cbsl
2008,4681.3,Transport-Railways,Sri Lanka Railways-Passenger Kilometers-All Island,cbsl
2009,4594.8,Transport-Railways,Sri Lanka Railways-Passenger Kilometers-All Island,cbsl
2010,4352.8,Transport-Railways,Sri Lanka Railways-Passenger Kilometers-All Island,cbsl
2011,4574.1,Transport-Railways,Sri Lanka Railways-Passenger Kilometers-All Island,cbsl
2012,5039.4,Transport-Railways,Sri Lanka Railways-Passenger Kilometers-All Island,cbsl
2013,6257.9,Transport-Railways,Sri Lanka Railways-Passenger Kilometers-All Island,cbsl
2014,6841.9,Transport-Railways,Sri Lanka Railways-Passenger Kilometers-All Island,cbsl
2015,7407.4,Transport-Railways,Sri Lanka Railways-Passenger Kilometers-All Island,cbsl
2016,7413.1,Transport-Railways,Sri Lanka Railways-Passenger Kilometers-All Island,cbsl
2017,7495.1,Transport-Railways,Sri Lanka Railways-Passenger Kilometers-All Island,cbsl
2018,7709.5,Transport-Railways,Sri Lanka Railways-Passenger Kilometers-All Island,cbsl
2019,7310,Transport-Railways,Sri Lanka Railways-Passenger Kilometers-All Island,cbsl
2020,3905.6,Transport-Railways,Sri Lanka Railways-Passenger Kilometers-All Island,cbsl
2021,2158.2,Transport-Railways,Sri Lanka Railways-Passenger Kilometers-All Island,cbsl
