Date,Value,Category,SubCategory,Source
2000,141,Transport-Railways,Sri Lanka Railways-Sub Stations-Broad Gauge,cbsl
2001,144,Transport-Railways,Sri Lanka Railways-Sub Stations-Broad Gauge,cbsl
2002,146,Transport-Railways,Sri Lanka Railways-Sub Stations-Broad Gauge,cbsl
2003,147,Transport-Railways,Sri Lanka Railways-Sub Stations-Broad Gauge,cbsl
2004,130,Transport-Railways,Sri Lanka Railways-Sub Stations-Broad Gauge,cbsl
2005,144,Transport-Railways,Sri Lanka Railways-Sub Stations-Broad Gauge,cbsl
2006,161,Transport-Railways,Sri Lanka Railways-Sub Stations-Broad Gauge,cbsl
2007,161,Transport-Railways,Sri Lanka Railways-Sub Stations-Broad Gauge,cbsl
2008,161,Transport-Railways,Sri Lanka Railways-Sub Stations-Broad Gauge,cbsl
2009,162,Transport-Railways,Sri Lanka Railways-Sub Stations-Broad Gauge,cbsl
2010,162,Transport-Railways,Sri Lanka Railways-Sub Stations-Broad Gauge,cbsl
2011,160,Transport-Railways,Sri Lanka Railways-Sub Stations-Broad Gauge,cbsl
2012,160,Transport-Railways,Sri Lanka Railways-Sub Stations-Broad Gauge,cbsl
2013,164,Transport-Railways,Sri Lanka Railways-Sub Stations-Broad Gauge,cbsl
2014,194,Transport-Railways,Sri Lanka Railways-Sub Stations-Broad Gauge,cbsl
2015,162,Transport-Railways,Sri Lanka Railways-Sub Stations-Broad Gauge,cbsl
2016,162,Transport-Railways,Sri Lanka Railways-Sub Stations-Broad Gauge,cbsl
2017,161,Transport-Railways,Sri Lanka Railways-Sub Stations-Broad Gauge,cbsl
2018,163,Transport-Railways,Sri Lanka Railways-Sub Stations-Broad Gauge,cbsl
2019,165,Transport-Railways,Sri Lanka Railways-Sub Stations-Broad Gauge,cbsl
2020,165,Transport-Railways,Sri Lanka Railways-Sub Stations-Broad Gauge,cbsl
2021,163,Transport-Railways,Sri Lanka Railways-Sub Stations-Broad Gauge,cbsl
