Date,Value,Category,SubCategory,Source
2008,273,Transport-Road Network,Road Kilometerage-Ampara-Class A,cbsl
2009,141,Transport-Road Network,Road Kilometerage-Ampara-Class A,cbsl
2010,273,Transport-Road Network,Road Kilometerage-Ampara-Class A,cbsl
2011,141,Transport-Road Network,Road Kilometerage-Ampara-Class A,cbsl
2012,273,Transport-Road Network,Road Kilometerage-Ampara-Class A,cbsl
2013,273,Transport-Road Network,Road Kilometerage-Ampara-Class A,cbsl
2014,273,Transport-Road Network,Road Kilometerage-Ampara-Class A,cbsl
2015,273,Transport-Road Network,Road Kilometerage-Ampara-Class A,cbsl
2016,273,Transport-Road Network,Road Kilometerage-Ampara-Class A,cbsl
2017,273,Transport-Road Network,Road Kilometerage-Ampara-Class A,cbsl
2018,273,Transport-Road Network,Road Kilometerage-Ampara-Class A,cbsl
2019,273,Transport-Road Network,Road Kilometerage-Ampara-Class A,cbsl
2020,307,Transport-Road Network,Road Kilometerage-Ampara-Class A,cbsl
2021,307,Transport-Road Network,Road Kilometerage-Ampara-Class A,cbsl
