Date,Value,Category,SubCategory,Source
2008,282,Transport-Road Network,Road Kilometerage-Ampara-Class B,cbsl
2009,186,Transport-Road Network,Road Kilometerage-Ampara-Class B,cbsl
2010,282,Transport-Road Network,Road Kilometerage-Ampara-Class B,cbsl
2011,209,Transport-Road Network,Road Kilometerage-Ampara-Class B,cbsl
2012,282,Transport-Road Network,Road Kilometerage-Ampara-Class B,cbsl
2013,282,Transport-Road Network,Road Kilometerage-Ampara-Class B,cbsl
2014,282,Transport-Road Network,Road Kilometerage-Ampara-Class B,cbsl
2015,282,Transport-Road Network,Road Kilometerage-Ampara-Class B,cbsl
2016,282,Transport-Road Network,Road Kilometerage-Ampara-Class B,cbsl
2017,282,Transport-Road Network,Road Kilometerage-Ampara-Class B,cbsl
2018,282,Transport-Road Network,Road Kilometerage-Ampara-Class B,cbsl
2019,282,Transport-Road Network,Road Kilometerage-Ampara-Class B,cbsl
2020,281,Transport-Road Network,Road Kilometerage-Ampara-Class B,cbsl
2021,281,Transport-Road Network,Road Kilometerage-Ampara-Class B,cbsl
