Date,Value,Category,SubCategory,Source
2008,447,Transport-Road Network,Road Kilometerage-Anuradhapura-Class B,cbsl
2009,447,Transport-Road Network,Road Kilometerage-Anuradhapura-Class B,cbsl
2010,468,Transport-Road Network,Road Kilometerage-Anuradhapura-Class B,cbsl
2011,468,Transport-Road Network,Road Kilometerage-Anuradhapura-Class B,cbsl
2012,468,Transport-Road Network,Road Kilometerage-Anuradhapura-Class B,cbsl
2013,468,Transport-Road Network,Road Kilometerage-Anuradhapura-Class B,cbsl
2014,471,Transport-Road Network,Road Kilometerage-Anuradhapura-Class B,cbsl
2015,471,Transport-Road Network,Road Kilometerage-Anuradhapura-Class B,cbsl
2016,471,Transport-Road Network,Road Kilometerage-Anuradhapura-Class B,cbsl
2017,471,Transport-Road Network,Road Kilometerage-Anuradhapura-Class B,cbsl
2018,471,Transport-Road Network,Road Kilometerage-Anuradhapura-Class B,cbsl
2019,471,Transport-Road Network,Road Kilometerage-Anuradhapura-Class B,cbsl
2020,471,Transport-Road Network,Road Kilometerage-Anuradhapura-Class B,cbsl
2021,471,Transport-Road Network,Road Kilometerage-Anuradhapura-Class B,cbsl
