Date,Value,Category,SubCategory,Source
2008,767,Transport-Road Network,Road Kilometerage-Anuradhapura-Class C,cbsl
2009,740,Transport-Road Network,Road Kilometerage-Anuradhapura-Class C,cbsl
2010,740,Transport-Road Network,Road Kilometerage-Anuradhapura-Class C,cbsl
2011,740,Transport-Road Network,Road Kilometerage-Anuradhapura-Class C,cbsl
2012,741,Transport-Road Network,Road Kilometerage-Anuradhapura-Class C,cbsl
2013,741,Transport-Road Network,Road Kilometerage-Anuradhapura-Class C,cbsl
2014,741,Transport-Road Network,Road Kilometerage-Anuradhapura-Class C,cbsl
2015,741,Transport-Road Network,Road Kilometerage-Anuradhapura-Class C,cbsl
2016,741,Transport-Road Network,Road Kilometerage-Anuradhapura-Class C,cbsl
2017,741,Transport-Road Network,Road Kilometerage-Anuradhapura-Class C,cbsl
2018,741,Transport-Road Network,Road Kilometerage-Anuradhapura-Class C,cbsl
2019,741,Transport-Road Network,Road Kilometerage-Anuradhapura-Class C,cbsl
2020,741,Transport-Road Network,Road Kilometerage-Anuradhapura-Class C,cbsl
2021,741,Transport-Road Network,Road Kilometerage-Anuradhapura-Class C,cbsl
