Date,Value,Category,SubCategory,Source
2008,663,Transport-Road Network,Road Kilometerage-Anuradhapura-Class D,cbsl
2009,716,Transport-Road Network,Road Kilometerage-Anuradhapura-Class D,cbsl
2010,716,Transport-Road Network,Road Kilometerage-Anuradhapura-Class D,cbsl
2011,716,Transport-Road Network,Road Kilometerage-Anuradhapura-Class D,cbsl
2012,698,Transport-Road Network,Road Kilometerage-Anuradhapura-Class D,cbsl
2013,698,Transport-Road Network,Road Kilometerage-Anuradhapura-Class D,cbsl
2014,698,Transport-Road Network,Road Kilometerage-Anuradhapura-Class D,cbsl
2015,698,Transport-Road Network,Road Kilometerage-Anuradhapura-Class D,cbsl
2016,698,Transport-Road Network,Road Kilometerage-Anuradhapura-Class D,cbsl
2017,698,Transport-Road Network,Road Kilometerage-Anuradhapura-Class D,cbsl
2018,698,Transport-Road Network,Road Kilometerage-Anuradhapura-Class D,cbsl
2019,698,Transport-Road Network,Road Kilometerage-Anuradhapura-Class D,cbsl
2020,698,Transport-Road Network,Road Kilometerage-Anuradhapura-Class D,cbsl
2021,698,Transport-Road Network,Road Kilometerage-Anuradhapura-Class D,cbsl
