Date,Value,Category,SubCategory,Source
2008,206,Transport-Road Network,Road Kilometerage-Batticaloa-Class A,cbsl
2009,206,Transport-Road Network,Road Kilometerage-Batticaloa-Class A,cbsl
2010,206,Transport-Road Network,Road Kilometerage-Batticaloa-Class A,cbsl
2011,206,Transport-Road Network,Road Kilometerage-Batticaloa-Class A,cbsl
2012,206,Transport-Road Network,Road Kilometerage-Batticaloa-Class A,cbsl
2013,206,Transport-Road Network,Road Kilometerage-Batticaloa-Class A,cbsl
2014,206,Transport-Road Network,Road Kilometerage-Batticaloa-Class A,cbsl
2015,206,Transport-Road Network,Road Kilometerage-Batticaloa-Class A,cbsl
2016,206,Transport-Road Network,Road Kilometerage-Batticaloa-Class A,cbsl
2017,206,Transport-Road Network,Road Kilometerage-Batticaloa-Class A,cbsl
2018,206,Transport-Road Network,Road Kilometerage-Batticaloa-Class A,cbsl
2019,206,Transport-Road Network,Road Kilometerage-Batticaloa-Class A,cbsl
2020,172,Transport-Road Network,Road Kilometerage-Batticaloa-Class A,cbsl
2021,172,Transport-Road Network,Road Kilometerage-Batticaloa-Class A,cbsl
