Date,Value,Category,SubCategory,Source
2008,61,Transport-Road Network,Road Kilometerage-Batticaloa-Class B,cbsl
2009,61,Transport-Road Network,Road Kilometerage-Batticaloa-Class B,cbsl
2010,61,Transport-Road Network,Road Kilometerage-Batticaloa-Class B,cbsl
2011,61,Transport-Road Network,Road Kilometerage-Batticaloa-Class B,cbsl
2012,61,Transport-Road Network,Road Kilometerage-Batticaloa-Class B,cbsl
2013,61,Transport-Road Network,Road Kilometerage-Batticaloa-Class B,cbsl
2014,61,Transport-Road Network,Road Kilometerage-Batticaloa-Class B,cbsl
2015,61,Transport-Road Network,Road Kilometerage-Batticaloa-Class B,cbsl
2016,61,Transport-Road Network,Road Kilometerage-Batticaloa-Class B,cbsl
2017,61,Transport-Road Network,Road Kilometerage-Batticaloa-Class B,cbsl
2018,61,Transport-Road Network,Road Kilometerage-Batticaloa-Class B,cbsl
2019,61,Transport-Road Network,Road Kilometerage-Batticaloa-Class B,cbsl
2020,61,Transport-Road Network,Road Kilometerage-Batticaloa-Class B,cbsl
2021,61,Transport-Road Network,Road Kilometerage-Batticaloa-Class B,cbsl
