Date,Value,Category,SubCategory,Source
2008,254,Transport-Road Network,Road Kilometerage-Batticaloa-Class C,cbsl
2009,254,Transport-Road Network,Road Kilometerage-Batticaloa-Class C,cbsl
2010,254,Transport-Road Network,Road Kilometerage-Batticaloa-Class C,cbsl
2011,254,Transport-Road Network,Road Kilometerage-Batticaloa-Class C,cbsl
2012,254,Transport-Road Network,Road Kilometerage-Batticaloa-Class C,cbsl
2013,256,Transport-Road Network,Road Kilometerage-Batticaloa-Class C,cbsl
2014,254,Transport-Road Network,Road Kilometerage-Batticaloa-Class C,cbsl
2015,313,Transport-Road Network,Road Kilometerage-Batticaloa-Class C,cbsl
2016,313,Transport-Road Network,Road Kilometerage-Batticaloa-Class C,cbsl
2017,313,Transport-Road Network,Road Kilometerage-Batticaloa-Class C,cbsl
2018,313,Transport-Road Network,Road Kilometerage-Batticaloa-Class C,cbsl
2019,335,Transport-Road Network,Road Kilometerage-Batticaloa-Class C,cbsl
2020,350,Transport-Road Network,Road Kilometerage-Batticaloa-Class C,cbsl
2021,388,Transport-Road Network,Road Kilometerage-Batticaloa-Class C,cbsl
