Date,Value,Category,SubCategory,Source
2008,131,Transport-Road Network,Road Kilometerage-Batticaloa-Class D,cbsl
2009,131,Transport-Road Network,Road Kilometerage-Batticaloa-Class D,cbsl
2010,131,Transport-Road Network,Road Kilometerage-Batticaloa-Class D,cbsl
2011,131,Transport-Road Network,Road Kilometerage-Batticaloa-Class D,cbsl
2012,131,Transport-Road Network,Road Kilometerage-Batticaloa-Class D,cbsl
2013,155,Transport-Road Network,Road Kilometerage-Batticaloa-Class D,cbsl
2014,131,Transport-Road Network,Road Kilometerage-Batticaloa-Class D,cbsl
2015,44,Transport-Road Network,Road Kilometerage-Batticaloa-Class D,cbsl
2016,44,Transport-Road Network,Road Kilometerage-Batticaloa-Class D,cbsl
2017,45,Transport-Road Network,Road Kilometerage-Batticaloa-Class D,cbsl
2018,45,Transport-Road Network,Road Kilometerage-Batticaloa-Class D,cbsl
2019,44,Transport-Road Network,Road Kilometerage-Batticaloa-Class D,cbsl
2020,49,Transport-Road Network,Road Kilometerage-Batticaloa-Class D,cbsl
2021,41,Transport-Road Network,Road Kilometerage-Batticaloa-Class D,cbsl
