Date,Value,Category,SubCategory,Source
2000,409,Transport-Road Network,Road Kilometerage-Central-Class A,cbsl
2001,471,Transport-Road Network,Road Kilometerage-Central-Class A,cbsl
2002,471,Transport-Road Network,Road Kilometerage-Central-Class A,cbsl
2003,471,Transport-Road Network,Road Kilometerage-Central-Class A,cbsl
2004,471,Transport-Road Network,Road Kilometerage-Central-Class A,cbsl
2005,471,Transport-Road Network,Road Kilometerage-Central-Class A,cbsl
2006,409,Transport-Road Network,Road Kilometerage-Central-Class A,cbsl
2007,409,Transport-Road Network,Road Kilometerage-Central-Class A,cbsl
2008,409,Transport-Road Network,Road Kilometerage-Central-Class A,cbsl
2009,409,Transport-Road Network,Road Kilometerage-Central-Class A,cbsl
2010,409,Transport-Road Network,Road Kilometerage-Central-Class A,cbsl
2011,409,Transport-Road Network,Road Kilometerage-Central-Class A,cbsl
2012,409,Transport-Road Network,Road Kilometerage-Central-Class A,cbsl
2013,409,Transport-Road Network,Road Kilometerage-Central-Class A,cbsl
2014,409,Transport-Road Network,Road Kilometerage-Central-Class A,cbsl
2015,409,Transport-Road Network,Road Kilometerage-Central-Class A,cbsl
2016,409,Transport-Road Network,Road Kilometerage-Central-Class A,cbsl
2017,409,Transport-Road Network,Road Kilometerage-Central-Class A,cbsl
2018,409.0,Transport-Road Network,Road Kilometerage-Central-Class A,cbsl
2019,409,Transport-Road Network,Road Kilometerage-Central-Class A,cbsl
2020,409.0,Transport-Road Network,Road Kilometerage-Central-Class A,cbsl
2021,409,Transport-Road Network,Road Kilometerage-Central-Class A,cbsl
