Date,Value,Category,SubCategory,Source
2000,1284,Transport-Road Network,Road Kilometerage-Central-Class B,cbsl
2001,1284,Transport-Road Network,Road Kilometerage-Central-Class B,cbsl
2002,1294,Transport-Road Network,Road Kilometerage-Central-Class B,cbsl
2003,1294,Transport-Road Network,Road Kilometerage-Central-Class B,cbsl
2004,1294,Transport-Road Network,Road Kilometerage-Central-Class B,cbsl
2005,1307,Transport-Road Network,Road Kilometerage-Central-Class B,cbsl
2006,1311,Transport-Road Network,Road Kilometerage-Central-Class B,cbsl
2007,1311,Transport-Road Network,Road Kilometerage-Central-Class B,cbsl
2008,1311,Transport-Road Network,Road Kilometerage-Central-Class B,cbsl
2009,1316,Transport-Road Network,Road Kilometerage-Central-Class B,cbsl
2010,1331,Transport-Road Network,Road Kilometerage-Central-Class B,cbsl
2011,1331,Transport-Road Network,Road Kilometerage-Central-Class B,cbsl
2012,1338,Transport-Road Network,Road Kilometerage-Central-Class B,cbsl
2013,1338,Transport-Road Network,Road Kilometerage-Central-Class B,cbsl
2014,1338,Transport-Road Network,Road Kilometerage-Central-Class B,cbsl
2015,1338,Transport-Road Network,Road Kilometerage-Central-Class B,cbsl
2016,1338,Transport-Road Network,Road Kilometerage-Central-Class B,cbsl
2017,1338,Transport-Road Network,Road Kilometerage-Central-Class B,cbsl
2018,1338.0,Transport-Road Network,Road Kilometerage-Central-Class B,cbsl
2019,1334,Transport-Road Network,Road Kilometerage-Central-Class B,cbsl
2020,1334.0,Transport-Road Network,Road Kilometerage-Central-Class B,cbsl
2021,1334,Transport-Road Network,Road Kilometerage-Central-Class B,cbsl
