Date,Value,Category,SubCategory,Source
2000,325,Transport-Road Network,Road Kilometerage-Central-Class D,cbsl
2001,325,Transport-Road Network,Road Kilometerage-Central-Class D,cbsl
2002,325,Transport-Road Network,Road Kilometerage-Central-Class D,cbsl
2003,325,Transport-Road Network,Road Kilometerage-Central-Class D,cbsl
2004,325,Transport-Road Network,Road Kilometerage-Central-Class D,cbsl
2005,325,Transport-Road Network,Road Kilometerage-Central-Class D,cbsl
2006,578,Transport-Road Network,Road Kilometerage-Central-Class D,cbsl
2007,578,Transport-Road Network,Road Kilometerage-Central-Class D,cbsl
2008,578,Transport-Road Network,Road Kilometerage-Central-Class D,cbsl
2009,578,Transport-Road Network,Road Kilometerage-Central-Class D,cbsl
2010,578,Transport-Road Network,Road Kilometerage-Central-Class D,cbsl
2011,578,Transport-Road Network,Road Kilometerage-Central-Class D,cbsl
2012,578,Transport-Road Network,Road Kilometerage-Central-Class D,cbsl
2013,578,Transport-Road Network,Road Kilometerage-Central-Class D,cbsl
2014,578,Transport-Road Network,Road Kilometerage-Central-Class D,cbsl
2015,578,Transport-Road Network,Road Kilometerage-Central-Class D,cbsl
2016,578,Transport-Road Network,Road Kilometerage-Central-Class D,cbsl
2017,578,Transport-Road Network,Road Kilometerage-Central-Class D,cbsl
2018,578.0,Transport-Road Network,Road Kilometerage-Central-Class D,cbsl
2019,580,Transport-Road Network,Road Kilometerage-Central-Class D,cbsl
2020,580.0,Transport-Road Network,Road Kilometerage-Central-Class D,cbsl
2021,580,Transport-Road Network,Road Kilometerage-Central-Class D,cbsl
