Date,Value,Category,SubCategory,Source
2008,258,Transport-Road Network,Road Kilometerage-Colombo-Class B,cbsl
2009,258,Transport-Road Network,Road Kilometerage-Colombo-Class B,cbsl
2010,258,Transport-Road Network,Road Kilometerage-Colombo-Class B,cbsl
2011,258,Transport-Road Network,Road Kilometerage-Colombo-Class B,cbsl
2012,258,Transport-Road Network,Road Kilometerage-Colombo-Class B,cbsl
2013,258,Transport-Road Network,Road Kilometerage-Colombo-Class B,cbsl
2014,261,Transport-Road Network,Road Kilometerage-Colombo-Class B,cbsl
2015,261,Transport-Road Network,Road Kilometerage-Colombo-Class B,cbsl
2016,261,Transport-Road Network,Road Kilometerage-Colombo-Class B,cbsl
2017,261,Transport-Road Network,Road Kilometerage-Colombo-Class B,cbsl
2018,261,Transport-Road Network,Road Kilometerage-Colombo-Class B,cbsl
2019,267,Transport-Road Network,Road Kilometerage-Colombo-Class B,cbsl
2020,298,Transport-Road Network,Road Kilometerage-Colombo-Class B,cbsl
2021,271,Transport-Road Network,Road Kilometerage-Colombo-Class B,cbsl
