Date,Value,Category,SubCategory,Source
2008,166,Transport-Road Network,Road Kilometerage-Colombo-Class D,cbsl
2009,188,Transport-Road Network,Road Kilometerage-Colombo-Class D,cbsl
2010,193,Transport-Road Network,Road Kilometerage-Colombo-Class D,cbsl
2011,188,Transport-Road Network,Road Kilometerage-Colombo-Class D,cbsl
2012,193,Transport-Road Network,Road Kilometerage-Colombo-Class D,cbsl
2013,193,Transport-Road Network,Road Kilometerage-Colombo-Class D,cbsl
2014,193,Transport-Road Network,Road Kilometerage-Colombo-Class D,cbsl
2015,162,Transport-Road Network,Road Kilometerage-Colombo-Class D,cbsl
2016,162,Transport-Road Network,Road Kilometerage-Colombo-Class D,cbsl
2017,162,Transport-Road Network,Road Kilometerage-Colombo-Class D,cbsl
2018,162,Transport-Road Network,Road Kilometerage-Colombo-Class D,cbsl
2019,162,Transport-Road Network,Road Kilometerage-Colombo-Class D,cbsl
2020,162,Transport-Road Network,Road Kilometerage-Colombo-Class D,cbsl
2021,162,Transport-Road Network,Road Kilometerage-Colombo-Class D,cbsl
