Date,Value,Category,SubCategory,Source
2008,0,Transport-Road Network,Road Kilometerage-Colombo-Expressways,cbsl
2009,0,Transport-Road Network,Road Kilometerage-Colombo-Expressways,cbsl
2010,0,Transport-Road Network,Road Kilometerage-Colombo-Expressways,cbsl
2011,9,Transport-Road Network,Road Kilometerage-Colombo-Expressways,cbsl
2012,9,Transport-Road Network,Road Kilometerage-Colombo-Expressways,cbsl
2013,9,Transport-Road Network,Road Kilometerage-Colombo-Expressways,cbsl
2014,34,Transport-Road Network,Road Kilometerage-Colombo-Expressways,cbsl
2015,34,Transport-Road Network,Road Kilometerage-Colombo-Expressways,cbsl
2016,34,Transport-Road Network,Road Kilometerage-Colombo-Expressways,cbsl
2017,34,Transport-Road Network,Road Kilometerage-Colombo-Expressways,cbsl
2018,34,Transport-Road Network,Road Kilometerage-Colombo-Expressways,cbsl
2019,36,Transport-Road Network,Road Kilometerage-Colombo-Expressways,cbsl
2020,36,Transport-Road Network,Road Kilometerage-Colombo-Expressways,cbsl
2021,36,Transport-Road Network,Road Kilometerage-Colombo-Expressways,cbsl
