Date,Value,Category,SubCategory,Source
2005,0,Transport-Road Network,Road Kilometerage-Colombo-Total,cbsl
2006,0,Transport-Road Network,Road Kilometerage-Colombo-Total,cbsl
2007,0,Transport-Road Network,Road Kilometerage-Colombo-Total,cbsl
2008,801,Transport-Road Network,Road Kilometerage-Colombo-Total,cbsl
2009,823,Transport-Road Network,Road Kilometerage-Colombo-Total,cbsl
2010,828,Transport-Road Network,Road Kilometerage-Colombo-Total,cbsl
2011,832,Transport-Road Network,Road Kilometerage-Colombo-Total,cbsl
2012,837,Transport-Road Network,Road Kilometerage-Colombo-Total,cbsl
2013,837,Transport-Road Network,Road Kilometerage-Colombo-Total,cbsl
2014,865,Transport-Road Network,Road Kilometerage-Colombo-Total,cbsl
2015,864,Transport-Road Network,Road Kilometerage-Colombo-Total,cbsl
2016,864,Transport-Road Network,Road Kilometerage-Colombo-Total,cbsl
2017,864,Transport-Road Network,Road Kilometerage-Colombo-Total,cbsl
2018,870,Transport-Road Network,Road Kilometerage-Colombo-Total,cbsl
2019,873,Transport-Road Network,Road Kilometerage-Colombo-Total,cbsl
2020,903,Transport-Road Network,Road Kilometerage-Colombo-Total,cbsl
2021,866,Transport-Road Network,Road Kilometerage-Colombo-Total,cbsl
