Date,Value,Category,SubCategory,Source
2000,620,Transport-Road Network,Road Kilometerage-Eastern-Class A,cbsl
2001,620,Transport-Road Network,Road Kilometerage-Eastern-Class A,cbsl
2002,620,Transport-Road Network,Road Kilometerage-Eastern-Class A,cbsl
2003,620,Transport-Road Network,Road Kilometerage-Eastern-Class A,cbsl
2004,620,Transport-Road Network,Road Kilometerage-Eastern-Class A,cbsl
2005,620,Transport-Road Network,Road Kilometerage-Eastern-Class A,cbsl
2006,620,Transport-Road Network,Road Kilometerage-Eastern-Class A,cbsl
2007,620,Transport-Road Network,Road Kilometerage-Eastern-Class A,cbsl
2008,620,Transport-Road Network,Road Kilometerage-Eastern-Class A,cbsl
2009,620,Transport-Road Network,Road Kilometerage-Eastern-Class A,cbsl
2010,620,Transport-Road Network,Road Kilometerage-Eastern-Class A,cbsl
2011,620,Transport-Road Network,Road Kilometerage-Eastern-Class A,cbsl
2012,620,Transport-Road Network,Road Kilometerage-Eastern-Class A,cbsl
2013,620,Transport-Road Network,Road Kilometerage-Eastern-Class A,cbsl
2014,620,Transport-Road Network,Road Kilometerage-Eastern-Class A,cbsl
2015,620,Transport-Road Network,Road Kilometerage-Eastern-Class A,cbsl
2016,620,Transport-Road Network,Road Kilometerage-Eastern-Class A,cbsl
2017,620,Transport-Road Network,Road Kilometerage-Eastern-Class A,cbsl
2018,620.0,Transport-Road Network,Road Kilometerage-Eastern-Class A,cbsl
2019,620,Transport-Road Network,Road Kilometerage-Eastern-Class A,cbsl
2020,620.0,Transport-Road Network,Road Kilometerage-Eastern-Class A,cbsl
2021,620,Transport-Road Network,Road Kilometerage-Eastern-Class A,cbsl
