Date,Value,Category,SubCategory,Source
2000,556,Transport-Road Network,Road Kilometerage-Eastern-Class C,cbsl
2001,556,Transport-Road Network,Road Kilometerage-Eastern-Class C,cbsl
2002,556,Transport-Road Network,Road Kilometerage-Eastern-Class C,cbsl
2003,556,Transport-Road Network,Road Kilometerage-Eastern-Class C,cbsl
2004,556,Transport-Road Network,Road Kilometerage-Eastern-Class C,cbsl
2005,566,Transport-Road Network,Road Kilometerage-Eastern-Class C,cbsl
2006,722,Transport-Road Network,Road Kilometerage-Eastern-Class C,cbsl
2007,722,Transport-Road Network,Road Kilometerage-Eastern-Class C,cbsl
2008,722,Transport-Road Network,Road Kilometerage-Eastern-Class C,cbsl
2009,722,Transport-Road Network,Road Kilometerage-Eastern-Class C,cbsl
2010,722,Transport-Road Network,Road Kilometerage-Eastern-Class C,cbsl
2011,722,Transport-Road Network,Road Kilometerage-Eastern-Class C,cbsl
2012,722,Transport-Road Network,Road Kilometerage-Eastern-Class C,cbsl
2013,722,Transport-Road Network,Road Kilometerage-Eastern-Class C,cbsl
2014,817,Transport-Road Network,Road Kilometerage-Eastern-Class C,cbsl
2015,817,Transport-Road Network,Road Kilometerage-Eastern-Class C,cbsl
2016,817,Transport-Road Network,Road Kilometerage-Eastern-Class C,cbsl
2017,848,Transport-Road Network,Road Kilometerage-Eastern-Class C,cbsl
2018,848.0,Transport-Road Network,Road Kilometerage-Eastern-Class C,cbsl
2019,889,Transport-Road Network,Road Kilometerage-Eastern-Class C,cbsl
2020,724.0,Transport-Road Network,Road Kilometerage-Eastern-Class C,cbsl
2021,936,Transport-Road Network,Road Kilometerage-Eastern-Class C,cbsl
