Date,Value,Category,SubCategory,Source
2008,393,Transport-Road Network,Road Kilometerage-Galle-Class B,cbsl
2009,393,Transport-Road Network,Road Kilometerage-Galle-Class B,cbsl
2010,393,Transport-Road Network,Road Kilometerage-Galle-Class B,cbsl
2011,393,Transport-Road Network,Road Kilometerage-Galle-Class B,cbsl
2012,393,Transport-Road Network,Road Kilometerage-Galle-Class B,cbsl
2013,393,Transport-Road Network,Road Kilometerage-Galle-Class B,cbsl
2014,393,Transport-Road Network,Road Kilometerage-Galle-Class B,cbsl
2015,393,Transport-Road Network,Road Kilometerage-Galle-Class B,cbsl
2016,393,Transport-Road Network,Road Kilometerage-Galle-Class B,cbsl
2017,393,Transport-Road Network,Road Kilometerage-Galle-Class B,cbsl
2018,393,Transport-Road Network,Road Kilometerage-Galle-Class B,cbsl
2019,393,Transport-Road Network,Road Kilometerage-Galle-Class B,cbsl
2020,392,Transport-Road Network,Road Kilometerage-Galle-Class B,cbsl
2021,392,Transport-Road Network,Road Kilometerage-Galle-Class B,cbsl
