Date,Value,Category,SubCategory,Source
2008,381,Transport-Road Network,Road Kilometerage-Galle-Class C,cbsl
2009,389,Transport-Road Network,Road Kilometerage-Galle-Class C,cbsl
2010,389,Transport-Road Network,Road Kilometerage-Galle-Class C,cbsl
2011,389,Transport-Road Network,Road Kilometerage-Galle-Class C,cbsl
2012,389,Transport-Road Network,Road Kilometerage-Galle-Class C,cbsl
2013,387,Transport-Road Network,Road Kilometerage-Galle-Class C,cbsl
2014,387,Transport-Road Network,Road Kilometerage-Galle-Class C,cbsl
2015,387,Transport-Road Network,Road Kilometerage-Galle-Class C,cbsl
2016,387,Transport-Road Network,Road Kilometerage-Galle-Class C,cbsl
2017,387,Transport-Road Network,Road Kilometerage-Galle-Class C,cbsl
2018,387,Transport-Road Network,Road Kilometerage-Galle-Class C,cbsl
2019,387,Transport-Road Network,Road Kilometerage-Galle-Class C,cbsl
2020,387,Transport-Road Network,Road Kilometerage-Galle-Class C,cbsl
2021,387,Transport-Road Network,Road Kilometerage-Galle-Class C,cbsl
