Date,Value,Category,SubCategory,Source
2005,0,Transport-Road Network,Road Kilometerage-Galle-Total,cbsl
2006,0,Transport-Road Network,Road Kilometerage-Galle-Total,cbsl
2007,0,Transport-Road Network,Road Kilometerage-Galle-Total,cbsl
2008,1153,Transport-Road Network,Road Kilometerage-Galle-Total,cbsl
2009,1150,Transport-Road Network,Road Kilometerage-Galle-Total,cbsl
2010,1150,Transport-Road Network,Road Kilometerage-Galle-Total,cbsl
2011,1192,Transport-Road Network,Road Kilometerage-Galle-Total,cbsl
2012,1192,Transport-Road Network,Road Kilometerage-Galle-Total,cbsl
2013,1191,Transport-Road Network,Road Kilometerage-Galle-Total,cbsl
2014,1209,Transport-Road Network,Road Kilometerage-Galle-Total,cbsl
2015,1209,Transport-Road Network,Road Kilometerage-Galle-Total,cbsl
2016,1209,Transport-Road Network,Road Kilometerage-Galle-Total,cbsl
2017,1209,Transport-Road Network,Road Kilometerage-Galle-Total,cbsl
2018,1209,Transport-Road Network,Road Kilometerage-Galle-Total,cbsl
2019,1209,Transport-Road Network,Road Kilometerage-Galle-Total,cbsl
2020,1208,Transport-Road Network,Road Kilometerage-Galle-Total,cbsl
2021,1208,Transport-Road Network,Road Kilometerage-Galle-Total,cbsl
