Date,Value,Category,SubCategory,Source
2008,610,Transport-Road Network,Road Kilometerage-Gampaha-Class B,cbsl
2009,610,Transport-Road Network,Road Kilometerage-Gampaha-Class B,cbsl
2010,610,Transport-Road Network,Road Kilometerage-Gampaha-Class B,cbsl
2011,610,Transport-Road Network,Road Kilometerage-Gampaha-Class B,cbsl
2012,616,Transport-Road Network,Road Kilometerage-Gampaha-Class B,cbsl
2013,621,Transport-Road Network,Road Kilometerage-Gampaha-Class B,cbsl
2014,621,Transport-Road Network,Road Kilometerage-Gampaha-Class B,cbsl
2015,622,Transport-Road Network,Road Kilometerage-Gampaha-Class B,cbsl
2016,622,Transport-Road Network,Road Kilometerage-Gampaha-Class B,cbsl
2017,622,Transport-Road Network,Road Kilometerage-Gampaha-Class B,cbsl
2018,622,Transport-Road Network,Road Kilometerage-Gampaha-Class B,cbsl
2019,622,Transport-Road Network,Road Kilometerage-Gampaha-Class B,cbsl
2020,618,Transport-Road Network,Road Kilometerage-Gampaha-Class B,cbsl
2021,624,Transport-Road Network,Road Kilometerage-Gampaha-Class B,cbsl
