Date,Value,Category,SubCategory,Source
2008,370,Transport-Road Network,Road Kilometerage-Gampaha-Class C,cbsl
2009,370,Transport-Road Network,Road Kilometerage-Gampaha-Class C,cbsl
2010,370,Transport-Road Network,Road Kilometerage-Gampaha-Class C,cbsl
2011,370,Transport-Road Network,Road Kilometerage-Gampaha-Class C,cbsl
2012,370,Transport-Road Network,Road Kilometerage-Gampaha-Class C,cbsl
2013,370,Transport-Road Network,Road Kilometerage-Gampaha-Class C,cbsl
2014,370,Transport-Road Network,Road Kilometerage-Gampaha-Class C,cbsl
2015,385,Transport-Road Network,Road Kilometerage-Gampaha-Class C,cbsl
2016,385,Transport-Road Network,Road Kilometerage-Gampaha-Class C,cbsl
2017,385,Transport-Road Network,Road Kilometerage-Gampaha-Class C,cbsl
2018,385,Transport-Road Network,Road Kilometerage-Gampaha-Class C,cbsl
2019,385,Transport-Road Network,Road Kilometerage-Gampaha-Class C,cbsl
2020,385,Transport-Road Network,Road Kilometerage-Gampaha-Class C,cbsl
2021,355,Transport-Road Network,Road Kilometerage-Gampaha-Class C,cbsl
