Date,Value,Category,SubCategory,Source
2008,476,Transport-Road Network,Road Kilometerage-Gampaha-Class D,cbsl
2009,506,Transport-Road Network,Road Kilometerage-Gampaha-Class D,cbsl
2010,515,Transport-Road Network,Road Kilometerage-Gampaha-Class D,cbsl
2011,506,Transport-Road Network,Road Kilometerage-Gampaha-Class D,cbsl
2012,515,Transport-Road Network,Road Kilometerage-Gampaha-Class D,cbsl
2013,515,Transport-Road Network,Road Kilometerage-Gampaha-Class D,cbsl
2014,515,Transport-Road Network,Road Kilometerage-Gampaha-Class D,cbsl
2015,499,Transport-Road Network,Road Kilometerage-Gampaha-Class D,cbsl
2016,499,Transport-Road Network,Road Kilometerage-Gampaha-Class D,cbsl
2017,499,Transport-Road Network,Road Kilometerage-Gampaha-Class D,cbsl
2018,499,Transport-Road Network,Road Kilometerage-Gampaha-Class D,cbsl
2019,499,Transport-Road Network,Road Kilometerage-Gampaha-Class D,cbsl
2020,499,Transport-Road Network,Road Kilometerage-Gampaha-Class D,cbsl
2021,494,Transport-Road Network,Road Kilometerage-Gampaha-Class D,cbsl
