Date,Value,Category,SubCategory,Source
2008,115,Transport-Road Network,Road Kilometerage-Hambantota-Class A,cbsl
2009,115,Transport-Road Network,Road Kilometerage-Hambantota-Class A,cbsl
2010,115,Transport-Road Network,Road Kilometerage-Hambantota-Class A,cbsl
2011,115,Transport-Road Network,Road Kilometerage-Hambantota-Class A,cbsl
2012,115,Transport-Road Network,Road Kilometerage-Hambantota-Class A,cbsl
2013,115,Transport-Road Network,Road Kilometerage-Hambantota-Class A,cbsl
2014,115,Transport-Road Network,Road Kilometerage-Hambantota-Class A,cbsl
2015,115,Transport-Road Network,Road Kilometerage-Hambantota-Class A,cbsl
2016,115,Transport-Road Network,Road Kilometerage-Hambantota-Class A,cbsl
2017,115,Transport-Road Network,Road Kilometerage-Hambantota-Class A,cbsl
2018,115,Transport-Road Network,Road Kilometerage-Hambantota-Class A,cbsl
2019,115,Transport-Road Network,Road Kilometerage-Hambantota-Class A,cbsl
2020,115,Transport-Road Network,Road Kilometerage-Hambantota-Class A,cbsl
2021,115,Transport-Road Network,Road Kilometerage-Hambantota-Class A,cbsl
