Date,Value,Category,SubCategory,Source
2005,0,Transport-Road Network,Road Kilometerage-Hambantota-Total,cbsl
2006,0,Transport-Road Network,Road Kilometerage-Hambantota-Total,cbsl
2007,0,Transport-Road Network,Road Kilometerage-Hambantota-Total,cbsl
2008,1059,Transport-Road Network,Road Kilometerage-Hambantota-Total,cbsl
2009,1079,Transport-Road Network,Road Kilometerage-Hambantota-Total,cbsl
2010,1109,Transport-Road Network,Road Kilometerage-Hambantota-Total,cbsl
2011,1109,Transport-Road Network,Road Kilometerage-Hambantota-Total,cbsl
2012,1060,Transport-Road Network,Road Kilometerage-Hambantota-Total,cbsl
2013,1060,Transport-Road Network,Road Kilometerage-Hambantota-Total,cbsl
2014,1060,Transport-Road Network,Road Kilometerage-Hambantota-Total,cbsl
2015,1060,Transport-Road Network,Road Kilometerage-Hambantota-Total,cbsl
2016,1060,Transport-Road Network,Road Kilometerage-Hambantota-Total,cbsl
2017,1060,Transport-Road Network,Road Kilometerage-Hambantota-Total,cbsl
2018,1060,Transport-Road Network,Road Kilometerage-Hambantota-Total,cbsl
2019,1096,Transport-Road Network,Road Kilometerage-Hambantota-Total,cbsl
2020,1105,Transport-Road Network,Road Kilometerage-Hambantota-Total,cbsl
2021,1123,Transport-Road Network,Road Kilometerage-Hambantota-Total,cbsl
