Date,Value,Category,SubCategory,Source
2008,0,Transport-Road Network,Road Kilometerage-Jaffna-Class C,cbsl
2009,482,Transport-Road Network,Road Kilometerage-Jaffna-Class C,cbsl
2010,482,Transport-Road Network,Road Kilometerage-Jaffna-Class C,cbsl
2011,535,Transport-Road Network,Road Kilometerage-Jaffna-Class C,cbsl
2012,535,Transport-Road Network,Road Kilometerage-Jaffna-Class C,cbsl
2013,544,Transport-Road Network,Road Kilometerage-Jaffna-Class C,cbsl
2014,544,Transport-Road Network,Road Kilometerage-Jaffna-Class C,cbsl
2015,544,Transport-Road Network,Road Kilometerage-Jaffna-Class C,cbsl
2016,544,Transport-Road Network,Road Kilometerage-Jaffna-Class C,cbsl
2017,544,Transport-Road Network,Road Kilometerage-Jaffna-Class C,cbsl
2018,544,Transport-Road Network,Road Kilometerage-Jaffna-Class C,cbsl
2019,544,Transport-Road Network,Road Kilometerage-Jaffna-Class C,cbsl
2020,544,Transport-Road Network,Road Kilometerage-Jaffna-Class C,cbsl
2021,544,Transport-Road Network,Road Kilometerage-Jaffna-Class C,cbsl
