Date,Value,Category,SubCategory,Source
2008,0,Transport-Road Network,Road Kilometerage-Jaffna-Class D,cbsl
2009,90,Transport-Road Network,Road Kilometerage-Jaffna-Class D,cbsl
2010,90,Transport-Road Network,Road Kilometerage-Jaffna-Class D,cbsl
2011,36,Transport-Road Network,Road Kilometerage-Jaffna-Class D,cbsl
2012,36,Transport-Road Network,Road Kilometerage-Jaffna-Class D,cbsl
2013,45,Transport-Road Network,Road Kilometerage-Jaffna-Class D,cbsl
2014,45,Transport-Road Network,Road Kilometerage-Jaffna-Class D,cbsl
2015,45,Transport-Road Network,Road Kilometerage-Jaffna-Class D,cbsl
2016,45,Transport-Road Network,Road Kilometerage-Jaffna-Class D,cbsl
2017,45,Transport-Road Network,Road Kilometerage-Jaffna-Class D,cbsl
2018,45,Transport-Road Network,Road Kilometerage-Jaffna-Class D,cbsl
2019,45,Transport-Road Network,Road Kilometerage-Jaffna-Class D,cbsl
2020,45,Transport-Road Network,Road Kilometerage-Jaffna-Class D,cbsl
2021,45,Transport-Road Network,Road Kilometerage-Jaffna-Class D,cbsl
